date,capital,portfolio_value,positions
2026-01-05T00:00:00.000000,96045.8141,99998.8141,1
2026-01-06T00:00:00.000000,96045.8141,100393.8141,1
2026-01-07T00:00:00.000000,96042.9443,100825.9443,1
2026-01-08T00:00:00.000000,96042.9443,100960.9443,1
2026-01-09T00:00:00.000000,96042.9443,101193.9443,1
2026-01-12T00:00:00.000000,88157.5794,101706.5794,3
2026-01-13T00:00:00.000000,88153.83959999999,102325.83959999999,3
2026-01-14T00:00:00.000000,88153.83959999999,103132.83959999999,3
2026-01-15T00:00:00.000000,88153.83959999999,102512.83959999999,3
2026-01-16T00:00:00.000000,88153.83959999999,101949.83959999999,3
2026-01-19T00:00:00.000000,89985.29,102198.29,2
2026-01-20T00:00:00.000000,89985.29,101998.29,2
2026-01-21T00:00:00.000000,89985.29,102134.29,2
2026-01-22T00:00:00.000000,89985.29,102127.29,2
2026-01-23T00:00:00.000000,89985.29,102598.29,2
2026-01-26T00:00:00.000000,89985.29,102832.29,2
2026-01-27T00:00:00.000000,97543.022,103358.022,1
2026-01-28T00:00:00.000000,103273.3024,103273.3024,0
2026-01-29T00:00:00.000000,103273.3024,103273.3024,0
2026-01-30T00:00:00.000000,103273.3024,103273.3024,0
2026-02-02T00:00:00.000000,103273.3024,103273.3024,0
2026-02-03T00:00:00.000000,103273.3024,103273.3024,0
2026-02-04T00:00:00.000000,103273.3024,103273.3024,0
2026-02-05T00:00:00.000000,103273.3024,103273.3024,0
2026-02-06T00:00:00.000000,103273.3024,103273.3024,0
2026-02-09T00:00:00.000000,103273.3024,103273.3024,0
2026-02-10T00:00:00.000000,103273.3024,103273.3024,0
2026-02-11T00:00:00.000000,103273.3024,103273.3024,0
2026-02-12T00:00:00.000000,103273.3024,103273.3024,0
2026-02-13T00:00:00.000000,103273.3024,103273.3024,0
2026-02-24T00:00:00.000000,103273.3024,103273.3024,0
2026-02-25T00:00:00.000000,103273.3024,103273.3024,0
2026-02-26T00:00:00.000000,103273.3024,103273.3024,0
2026-02-27T00:00:00.000000,103273.3024,103273.3024,0
2026-03-02T00:00:00.000000,103273.3024,103273.3024,0
2026-03-03T00:00:00.000000,103273.3024,103273.3024,0
2026-03-04T00:00:00.000000,93671.4227,103270.4227,1
2026-03-05T00:00:00.000000,93671.4227,103118.4227,1
2026-03-06T00:00:00.000000,88778.15516,103031.95516,2
2026-03-09T00:00:00.000000,86057.33915999999,103428.13915999999,3
2026-03-10T00:00:00.000000,86057.33915999999,103223.13915999999,3
2026-03-11T00:00:00.000000,86057.33915999999,103598.13915999999,3
2026-03-12T00:00:00.000000,86057.33915999999,103734.13915999999,3
2026-03-13T00:00:00.000000,86057.33915999999,103703.13915999999,3
2026-03-16T00:00:00.000000,86057.33915999999,104187.13915999999,3
2026-03-17T00:00:00.000000,86057.33915999999,104075.13915999999,3
2026-03-18T00:00:00.000000,86057.33915999999,103882.13915999999,3
2026-03-19T00:00:00.000000,86057.33915999999,103852.13915999999,3
2026-03-20T00:00:00.000000,96357.24826,103978.04826,2
2026-03-23T00:00:00.000000,92740.67381999998,103503.67381999998,1
2026-03-24T00:00:00.000000,92740.67381999998,103404.67381999998,1
2026-03-25T00:00:00.000000,92740.67381999998,103400.67381999998,1
2026-03-26T00:00:00.000000,92740.67381999998,103054.67381999998,1
2026-03-27T00:00:00.000000,92740.67381999998,103270.67381999998,1
2026-03-30T00:00:00.000000,92740.67381999998,103345.67381999998,1
2026-03-31T00:00:00.000000,92740.67381999998,103265.67381999998,1
2026-04-01T00:00:00.000000,92740.67381999998,103005.67381999998,1
2026-04-02T00:00:00.000000,102902.62431999999,102902.62431999999,0
2026-04-03T00:00:00.000000,102902.62431999999,102902.62431999999,0
2026-04-07T00:00:00.000000,102902.62431999999,102902.62431999999,0
2026-04-08T00:00:00.000000,102902.62431999999,102902.62431999999,0
2026-04-09T00:00:00.000000,97391.97161999998,102900.97161999998,1
2026-04-10T00:00:00.000000,89548.61931999998,103207.61931999998,2
2026-04-13T00:00:00.000000,89548.61931999998,102798.61931999998,2
2026-04-14T00:00:00.000000,89548.61931999998,102730.61931999998,2
2026-04-15T00:00:00.000000,89548.61931999998,102843.61931999998,2
2026-04-16T00:00:00.000000,89548.61931999998,103122.61931999998,2
2026-04-17T00:00:00.000000,89548.61931999998,103089.61931999998,2
2026-04-20T00:00:00.000000,89548.61931999998,103513.61931999998,2
2026-04-21T00:00:00.000000,89548.61931999998,103326.61931999998,2
2026-04-22T00:00:00.000000,96349.57841999998,103490.57841999998,1
2026-04-23T00:00:00.000000,96349.57841999998,103458.57841999998,1
2026-04-24T00:00:00.000000,96349.57841999998,103349.57841999998,1
2026-04-27T00:00:00.000000,89150.41931999997,103401.41931999997,2
2026-04-28T00:00:00.000000,95090.97041999997,103188.97041999997,2
2026-04-29T00:00:00.000000,95090.97041999997,103070.97041999997,2
2026-04-30T00:00:00.000000,95090.97041999997,102903.97041999997,2
2026-05-06T00:00:00.000000,95090.97041999997,102898.97041999997,2
2026-05-07T00:00:00.000000,95090.97041999997,103143.97041999997,2
2026-05-08T00:00:00.000000,95090.97041999997,103313.97041999997,2
2026-05-11T00:00:00.000000,87021.55031999997,103786.55031999997,3
2026-05-12T00:00:00.000000,87021.55031999997,103838.55031999997,3
2026-05-13T00:00:00.000000,96111.82241999997,104149.82241999997,1
2026-05-14T00:00:00.000000,96111.82241999997,104292.82241999997,1
2026-05-15T00:00:00.000000,96111.82241999997,104368.82241999997,1
2026-05-18T00:00:00.000000,96111.82241999997,104394.82241999997,1
2026-05-19T00:00:00.000000,96111.82241999997,104211.82241999997,1
2026-05-20T00:00:00.000000,96111.82241999997,104261.82241999997,1
2026-05-21T00:00:00.000000,96111.82241999997,104261.82241999997,1
2026-05-22T00:00:00.000000,104137.41401999997,104137.41401999997,0
2026-05-25T00:00:00.000000,104137.41401999997,104137.41401999997,0
2026-05-26T00:00:00.000000,95073.69571999996,104134.69571999996,1
2026-05-27T00:00:00.000000,95073.69571999996,103927.69571999996,1
2026-05-28T00:00:00.000000,95073.69571999996,104092.69571999996,1
2026-05-29T00:00:00.000000,95073.69571999996,103791.69571999996,1
2026-06-01T00:00:00.000000,95073.69571999996,104308.69571999996,1
2026-06-02T00:00:00.000000,95073.69571999996,104469.69571999996,1
2026-06-03T00:00:00.000000,95073.69571999996,104352.69571999996,1
2026-06-04T00:00:00.000000,95073.69571999996,104084.69571999996,1
2026-06-05T00:00:00.000000,95073.69571999996,103845.69571999996,1
2026-06-08T00:00:00.000000,95073.69571999996,104171.69571999996,1
2026-06-09T00:00:00.000000,95073.69571999996,104237.69571999996,1
2026-06-10T00:00:00.000000,93977.36691999996,104472.36691999996,2
2026-06-11T00:00:00.000000,95194.87901999996,104823.87901999996,2
2026-06-12T00:00:00.000000,95194.87901999996,104641.87901999996,2
