date,code,name,action,price,shares,score,buy_price,return,reason
2025-08-26T00:00:00.000000,sz000858,五粮液,买入,127.162,100,12.0,,,
2025-08-26T00:00:00.000000,sz002594,比亚迪,买入,113.75,100,12.0,,,
2025-08-26T00:00:00.000000,sz002714,牧原股份,买入,53.723,100,12.0,,,
2025-09-09T00:00:00.000000,sz002594,比亚迪,卖出,105.49,100,,113.75,-0.07289359999999995,评分<=2+持13天
2025-09-09T00:00:00.000000,sh600276,恒瑞医药,买入,70.89,100,12.0,,,
2025-09-16T00:00:00.000000,sz000858,五粮液,卖出,123.222,100,,127.162,-0.03127480379358624,评分<=2+持20天
2025-09-16T00:00:00.000000,sh601888,中国中免,买入,71.29,100,13.0,,,
2025-09-26T00:00:00.000000,sz002714,牧原股份,卖出,51.133,100,,53.723,-0.04849580068127243,持有30天
2025-10-09T00:00:00.000000,sh601888,中国中免,卖出,69.41,100,,71.29,-0.026663248702482944,评分<=2+持14天
2025-10-09T00:00:00.000000,sz002594,比亚迪,买入,110.6,100,11.0,,,
2025-10-10T00:00:00.000000,sh600276,恒瑞医药,卖出,68.0,100,,70.89,-0.04105515587529975,持有30天
2025-10-14T00:00:00.000000,sh600036,招商银行,买入,40.247,100,10.0,,,
2025-10-21T00:00:00.000000,sz002594,比亚迪,卖出,104.76,100,,110.6,-0.053087052441229625,评分<=2+持11天
2025-10-27T00:00:00.000000,sh600900,长江电力,买入,28.09,100,12.0,,,
2025-10-29T00:00:00.000000,sh600036,招商银行,卖出,39.757,100,,40.247,-0.012471168037369198,评分<=2+持14天
2025-10-29T00:00:00.000000,sh601318,中国平安,买入,57.2,100,11.0,,,
2025-10-31T00:00:00.000000,sh601888,中国中免,买入,75.82,100,12.0,,,
2025-11-27T00:00:00.000000,sh600900,长江电力,卖出,27.88,100,,28.09,-0.00777372730509083,持有30天
2025-11-27T00:00:00.000000,sz000333,美的集团,买入,79.8,100,10.0,,,
2025-12-01T00:00:00.000000,sh601318,中国平安,卖出,56.88,100,,57.2,-0.005892727272727278,持有30天
2025-12-02T00:00:00.000000,sh601888,中国中免,卖出,83.17,100,,75.82,0.09639314526691267,持有30天
2025-12-08T00:00:00.000000,sh601318,中国平安,买入,61.65,100,12.0,,,
2025-12-19T00:00:00.000000,sz000333,美的集团,卖出,79.45,100,,79.8,-0.004684649122807007,评分<=2+持21天
2025-12-23T00:00:00.000000,sh601888,中国中免,买入,88.91,100,11.0,,,
2026-01-06T00:00:00.000000,sz002594,比亚迪,买入,99.99,100,12.0,,,
2026-01-08T00:00:00.000000,sh601318,中国平安,卖出,68.63,100,,61.65,0.112680812008491,持有30天
2026-01-08T00:00:00.000000,sh601318,中国平安,买入,68.63,100,13.0,,,
2026-01-19T00:00:00.000000,sz002594,比亚迪,卖出,96.19,100,,99.99,-0.038292399239924065,评分<=2+持10天
2026-01-23T00:00:00.000000,sh601888,中国中免,卖出,93.32,100,,88.91,0.049029073879619224,持有30天
2026-01-29T00:00:00.000000,sz000858,五粮液,买入,110.77,100,11.0,,,
2026-02-10T00:00:00.000000,sh601318,中国平安,卖出,66.44,100,,68.63,-0.03220067026081887,持有30天
2026-02-11T00:00:00.000000,sh601888,中国中免,买入,97.0,100,10.0,,,
2026-02-25T00:00:00.000000,sh601888,中国中免,卖出,82.1,100,,97.0,-0.1538621649484536,止损(-15.4%)
2026-03-02T00:00:00.000000,sz000858,五粮液,卖出,103.22,100,,110.77,-0.06843880111943675,评分<=2+持29天
2026-03-03T00:00:00.000000,sz002594,比亚迪,买入,95.21,100,11.0,,,
2026-03-03T00:00:00.000000,sh600900,长江电力,买入,26.97,100,11.0,,,
2026-03-06T00:00:00.000000,sz002714,牧原股份,买入,48.918,100,11.0,,,
2026-03-30T00:00:00.000000,sh600900,长江电力,卖出,27.14,100,,26.97,0.005707058253268181,评分<=2+持24天
2026-03-31T00:00:00.000000,sz002714,牧原股份,卖出,41.288,100,,48.918,-0.15622851302179167,止损(-15.6%)
2026-04-03T00:00:00.000000,sz002594,比亚迪,卖出,99.01,100,,95.21,0.039334801950294276,持有30天
2026-04-21T00:00:00.000000,sz000333,美的集团,买入,79.5,100,10.0,,,
2026-05-07T00:00:00.000000,sh601318,中国平安,买入,58.29,100,11.0,,,
2026-05-13T00:00:00.000000,sh600900,长江电力,买入,27.0,100,10.0,,,
2026-05-22T00:00:00.000000,sz000333,美的集团,卖出,80.28,100,,79.5,0.009217150351129551,持有30天
2026-05-29T00:00:00.000000,sh600036,招商银行,买入,38.01,100,11.0,,,
2026-06-04T00:00:00.000000,sh601318,中国平安,卖出,51.48,100,,58.29,-0.11709459598558926,评分<=2+持27天
2026-06-11T00:00:00.000000,sz000333,美的集团,买入,85.35,100,12.0,,,
