date,code,name,action,price,shares,strength,buy_price,return,reason
2026-01-05T00:00:00.000000,sz002718,友邦整装,买入,39.53,100,7.5,,,
2026-01-07T00:00:00.000000,sz002718,友邦整装,卖出,47.83,100,,39.53,0.2099671135846192,止盈(21.0%)
2026-01-07T00:00:00.000000,sz002718,友邦整装,买入,47.83,100,7.5,,,
2026-01-12T00:00:00.000000,sz002230,科大讯飞,买入,59.6,100,7.0,,,
2026-01-12T00:00:00.000000,sh601012,隆基绿能,买入,19.23,100,7.0,,,
2026-01-13T00:00:00.000000,sz002718,友邦整装,卖出,62.33,100,,47.83,0.30315701442609244,止盈(30.3%)
2026-01-13T00:00:00.000000,sz002718,友邦整装,买入,62.33,100,6.0,,,
2026-01-19T00:00:00.000000,sh601012,隆基绿能,卖出,18.32,100,,19.23,-0.04732189287571503,跌破MA20
2026-01-27T00:00:00.000000,sz002718,友邦整装,卖出,75.6,100,,62.33,0.2128990855125942,止盈(21.3%)
2026-01-28T00:00:00.000000,sz002230,科大讯飞,卖出,57.32,100,,59.6,-0.038255033557047,跌破MA20
2026-03-04T00:00:00.000000,sz002594,比亚迪,买入,95.99,100,5.5,,,
2026-03-06T00:00:00.000000,sz002714,牧原股份,买入,48.918,100,5.5,,,
2026-03-09T00:00:00.000000,sh600900,长江电力,买入,27.2,100,5.5,,,
2026-03-20T00:00:00.000000,sz002594,比亚迪,卖出,103.03,100,,95.99,0.07334097301802278,持有15天
2026-03-23T00:00:00.000000,sz002714,牧原股份,卖出,44.778,100,,48.918,-0.08463142401569976,跌破MA20
2026-03-23T00:00:00.000000,sh600900,长江电力,卖出,26.74,100,,27.2,-0.016911764705882383,跌破MA20
2026-03-23T00:00:00.000000,sz002594,比亚迪,买入,107.63,100,6.5,,,
2026-04-02T00:00:00.000000,sz002594,比亚迪,卖出,101.65,100,,107.63,-0.05556071727213593,跌破MA20
2026-04-09T00:00:00.000000,sz002475,立讯精密,买入,55.09,100,6.5,,,
2026-04-10T00:00:00.000000,sz002718,友邦整装,买入,78.41,100,5.5,,,
2026-04-22T00:00:00.000000,sz002475,立讯精密,卖出,68.03,100,,55.09,0.23488836449446354,止盈(23.5%)
2026-04-27T00:00:00.000000,sz002475,立讯精密,买入,71.97,100,5.5,,,
2026-04-28T00:00:00.000000,sz002718,友邦整装,卖出,70.53,100,,78.41,-0.10049738553755894,持有15天
2026-04-28T00:00:00.000000,sz000001,平安银行,买入,11.1,100,4.0,,,
2026-05-11T00:00:00.000000,sz000333,美的集团,买入,80.67,100,5.0,,,
2026-05-13T00:00:00.000000,sz002475,立讯精密,卖出,80.15,100,,71.97,0.11365846880644723,持有15天
2026-05-13T00:00:00.000000,sz000001,平安银行,卖出,10.78,100,,11.1,-0.028828828828828857,跌破MA20
2026-05-22T00:00:00.000000,sz000333,美的集团,卖出,80.28,100,,80.67,-0.004834510970621056,跌破MA20
2026-05-26T00:00:00.000000,sz002718,友邦整装,买入,90.61,100,5.5,,,
2026-06-10T00:00:00.000000,sz000001,平安银行,买入,10.96,100,5.5,,,
2026-06-11T00:00:00.000000,sz002718,友邦整装,卖出,97.58,100,,90.61,0.07692307692307691,持有15天
2026-06-11T00:00:00.000000,sz000333,美的集团,买入,85.35,100,6.0,,,
