date,code,name,action,price,shares,strength,buy_price,return,reason
2025-11-13T00:00:00.000000,sh601888,中国中免,买入,90.27,200,6.0,,,
2025-11-20T00:00:00.000000,sz000001,平安银行,买入,11.49,200,7.0,,,
2025-11-21T00:00:00.000000,sh601888,中国中免,卖出,78.8,200,6.0,90.27,-0.12706325468040322,止损(-12.7%)
2025-12-08T00:00:00.000000,sh601601,中国太保,买入,38.24,200,8.0,,,
2025-12-08T00:00:00.000000,sz000725,京东方A,买入,4.21,200,7.0,,,
2025-12-09T00:00:00.000000,sz000001,平安银行,卖出,11.07,200,7.0,11.49,-0.03655352480417754,跌破MA60
2025-12-12T00:00:00.000000,sh601318,中国平安,买入,62.16,200,8.0,,,
2025-12-12T00:00:00.000000,sh601688,华泰证券,买入,22.16,200,6.0,,,
2025-12-17T00:00:00.000000,sh600309,万华化学,买入,72.97,200,9.0,,,
2025-12-22T00:00:00.000000,sz000725,京东方A,卖出,4.04,200,7.0,4.21,-0.040380047505938224,跌破MA60
2025-12-22T00:00:00.000000,sh601888,中国中免,买入,91.09,200,9.0,,,
2025-12-30T00:00:00.000000,sh601601,中国太保,卖出,41.91,200,8.0,38.24,0.09597280334728019,持有20天
2025-12-30T00:00:00.000000,sz002493,荣盛石化,买入,11.884,200,8.5,,,
2026-01-06T00:00:00.000000,sh601318,中国平安,卖出,72.57,200,8.0,62.16,0.16747104247104241,持有20天
2026-01-06T00:00:00.000000,sh601688,华泰证券,卖出,25.56,200,6.0,22.16,0.15342960288808657,持有20天
2026-01-06T00:00:00.000000,sh600030,中信证券,买入,29.49,200,9.5,,,
2026-01-06T00:00:00.000000,sz000725,京东方A,买入,4.5,200,9.5,,,
2026-01-07T00:00:00.000000,sh600309,万华化学,卖出,80.68,200,9.0,72.97,0.10565986021652746,持有20天
2026-01-07T00:00:00.000000,sz002230,科大讯飞,买入,53.02,200,6.0,,,
2026-01-08T00:00:00.000000,sh600030,中信证券,卖出,27.84,200,9.5,29.49,-0.05595116988809762,跌破MA60
