date,code,name,action,price,shares,strength,buy_price,return,reason
2025-11-13T00:00:00.000000,sh601888,中国中免,买入,90.27,200.0,6.0,,,
2025-11-18T00:00:00.000000,sh601888,中国中免,卖出,84.79,200.0,6.0,90.27,-0.06070676858313936,亏损止损(-6.1%)
2025-12-08T00:00:00.000000,sh601601,中国太保,买入,38.24,300.0,8.0,,,
2025-12-12T00:00:00.000000,sh601318,中国平安,买入,62.16,300.0,8.0,,,
2025-12-15T00:00:00.000000,sh601688,华泰证券,买入,22.73,200.0,7.0,,,
2025-12-29T00:00:00.000000,sh601318,中国平安,卖出,68.13,300.0,8.0,62.16,0.09604247104247103,MA5止盈(9.6%)
2025-12-29T00:00:00.000000,sz002493,荣盛石化,买入,11.094,200.0,6.5,,,
2025-12-30T00:00:00.000000,sh601601,中国太保,卖出,41.91,300.0,8.0,38.24,0.09597280334728019,MA5止盈(9.6%)
2025-12-30T00:00:00.000000,sz002050,三花智控,买入,52.38,200.0,7.5,,,
2026-01-08T00:00:00.000000,sh601688,华泰证券,卖出,23.95,200.0,7.0,22.73,0.053673559172899205,MA5止盈(5.4%)
2026-01-08T00:00:00.000000,sz002271,东方雨虹,买入,14.59,300.0,8.0,,,
2026-01-22T00:00:00.000000,sz002050,三花智控,卖出,56.03,200.0,7.5,52.38,0.06968308514700264,MA5止盈(7.0%)
2026-01-22T00:00:00.000000,sh600585,海螺水泥,买入,23.96,200.0,7.0,,,
2026-01-28T00:00:00.000000,sz002271,东方雨虹,卖出,16.64,300.0,8.0,14.59,0.14050719671007544,MA5止盈(14.1%)
2026-01-28T00:00:00.000000,sh600048,保利发展,买入,6.8,200.0,7.5,,,
2026-02-02T00:00:00.000000,sz002493,荣盛石化,卖出,13.504,200.0,6.5,11.094,0.2172345411934379,MA5止盈(21.7%)
2026-02-13T00:00:00.000000,sh600048,保利发展,卖出,6.74,200.0,7.5,6.8,-0.008823529411764649,MA20止损(-0.9%)
2026-03-02T00:00:00.000000,sh601088,中国神华,买入,44.73,350.0,9.0,,,
2026-03-03T00:00:00.000000,sh600585,海螺水泥,卖出,25.24,200.0,7.0,23.96,0.05342237061769606,MA5止盈(5.3%)
2026-03-03T00:00:00.000000,sh601919,中远海控,买入,16.97,300.0,8.5,,,
2026-03-04T00:00:00.000000,sh601919,中远海控,卖出,15.85,300.0,8.5,16.97,-0.06599882144961693,亏损止损(-6.6%)
2026-03-06T00:00:00.000000,sz002714,牧原股份,买入,48.918,200.0,7.5,,,
2026-03-09T00:00:00.000000,sz002594,比亚迪,买入,97.52,300.0,8.0,,,
2026-03-17T00:00:00.000000,sh601088,中国神华,卖出,47.74,350.0,9.0,44.73,0.06729264475743361,MA5止盈(6.7%)
2026-03-19T00:00:00.000000,sh601398,工商银行,买入,7.361,300.0,8.0,,,
2026-03-23T00:00:00.000000,sz002714,牧原股份,卖出,44.778,200.0,7.5,48.918,-0.08463142401569976,亏损止损(-8.5%)
2026-03-23T00:00:00.000000,sh601398,工商银行,卖出,7.081,300.0,8.0,7.361,-0.03803831001222652,跌破MA60(-3.8%)
2026-03-26T00:00:00.000000,sz002594,比亚迪,卖出,103.14,300.0,8.0,97.52,0.057629204265791684,MA5止盈(5.8%)
2026-04-09T00:00:00.000000,sz002475,立讯精密,买入,55.09,300.0,8.5,,,
2026-04-16T00:00:00.000000,sz300750,宁德时代,买入,447.074,199.0,8.0,,,
2026-04-24T00:00:00.000000,sz002475,立讯精密,卖出,66.0,300.0,8.5,55.09,0.1980395716100925,MA5止盈(19.8%)
2026-04-28T00:00:00.000000,sh600030,中信证券,买入,26.89,200.0,7.5,,,
2026-04-29T00:00:00.000000,sz000001,平安银行,买入,11.16,200.0,7.0,,,
2026-05-12T00:00:00.000000,sz300750,宁德时代,卖出,431.25,199.0,8.0,447.074,-0.03539458792056799,MA20止损(-3.5%)
2026-05-13T00:00:00.000000,sz000001,平安银行,卖出,10.78,200.0,7.0,11.16,-0.034050179211469606,MA20止损(-3.4%)
2026-05-14T00:00:00.000000,sh600030,中信证券,卖出,26.25,200.0,7.5,26.89,-0.02380066939382672,MA20止损(-2.4%)
2026-06-01T00:00:00.000000,sh601088,中国神华,买入,49.0,200.0,7.5,,,
2026-06-05T00:00:00.000000,sh601919,中远海控,买入,15.0,200.0,7.5,,,
2026-06-09T00:00:00.000000,sh601919,中远海控,卖出,14.81,200.0,7.5,15.0,-0.012666666666666633,跌破MA60(-1.3%)
2026-06-11T00:00:00.000000,sz000333,美的集团,买入,85.35,300.0,8.5,,,
2026-06-12T00:00:00.000000,sh601088,中国神华,卖出,46.14,200.0,7.5,49.0,-0.058367346938775495,亏损止损(-5.8%)
