code,name,price,prev_close,open,volume,high,low,amount,pct_change,turnover
600000,浦发银行,9.67,9.55,9.5,940499.0,9.7,13227.0,0.12,1.26,9.71
600004,白云机场,8.26,8.02,8.12,202718.0,8.28,1256.0,0.24,2.99,8.26
600006,东风股份,5.78,5.64,5.66,133321.0,5.8,2847.0,0.14,2.48,5.8
600007,中国国贸,19.78,21.25,21.24,113690.0,19.88,184.0,-1.47,-6.92,21.24
600008,首创环保,3.16,3.12,3.13,809474.0,3.18,24476.0,0.04,1.28,3.18
600009,上海机场,24.28,23.46,23.67,198035.0,24.3,282.0,0.82,3.5,24.65
600010,包钢股份,2.39,2.31,2.34,8934292.0,2.42,130415.0,0.08,3.46,2.44
600011,华能国际,8.05,8.17,8.11,1952835.0,8.08,1172.0,-0.12,-1.47,8.24
600012,皖通高速,16.46,16.78,17.08,127023.0,16.51,17.0,-0.32,-1.91,17.1
600015,华夏银行,6.99,6.91,6.88,846094.0,7.01,5936.0,0.08,1.16,6.99
600016,民生银行,3.63,3.57,3.56,2533455.0,3.65,74859.0,0.06,1.68,3.63
600017,XD日照港,2.69,2.61,2.64,291101.0,2.71,3654.0,0.08,3.07,2.7
600018,上港集团,5.04,4.97,4.98,665138.0,5.07,14853.0,0.07,1.41,5.07
600019,宝钢股份,6.02,5.85,5.84,2722391.0,6.05,14561.0,0.17,2.91,6.07
600020,中原高速,3.96,3.92,3.93,177656.0,3.99,977.0,0.04,1.02,4.0
600021,上海电力,17.2,17.14,17.29,652611.0,17.22,177.0,0.06,0.35,17.64
600022,山东钢铁,1.33,1.28,1.28,1054893.0,1.35,28674.0,0.05,3.91,1.33
600023,浙能电力,6.26,6.3,6.23,1036129.0,6.29,160.0,-0.04,-0.63,6.34
600025,华能水电,9.86,9.7,9.69,305182.0,9.88,1968.0,0.16,1.65,9.86
600026,中远海能,17.5,16.65,16.93,1089144.0,17.53,1017.0,0.85,5.11,17.88
600027,华电国际,5.12,5.07,5.08,1241916.0,5.14,7029.0,0.05,0.99,5.16
600028,中国石化,4.94,4.79,4.77,4880591.0,4.96,41619.0,0.15,3.13,4.95
600029,南方航空,5.27,5.02,5.15,2061791.0,5.3,42322.0,0.25,4.98,5.3
600030,中信证券,26.29,25.51,25.56,2693845.0,26.32,1347.0,0.78,3.06,26.45
600031,三一重工,18.91,18.22,18.4,1130550.0,18.94,1332.0,0.69,3.79,19.22
600032,浙江新能,8.62,8.56,8.5,426442.0,8.65,521.0,0.06,0.7,8.7
600033,福建高速,3.56,3.49,3.48,335411.0,3.59,1699.0,0.07,2.01,3.57
600035,楚天高速,3.79,3.78,3.79,98562.0,3.82,3163.0,0.01,0.26,3.81
600036,招商银行,39.34,38.73,38.59,1119834.0,39.36,2832.0,0.61,1.58,39.35
600037,歌华有线,6.63,6.51,6.55,142422.0,6.66,866.0,0.12,1.84,6.67
600038,中直股份,28.53,27.25,27.36,150440.0,28.55,105.0,1.28,4.7,28.65
600039,四川路桥,8.25,8.34,8.33,263213.0,8.27,76.0,-0.09,-1.08,8.34
600048,保利发展,5.21,5.15,5.15,1069261.0,5.23,9735.0,0.06,1.17,5.25
600050,中国联通,4.37,4.36,4.37,2120920.0,4.4,30837.0,0.01,0.23,4.42
600051,宁波联合,6.31,6.28,6.3,51570.0,6.34,297.0,0.03,0.48,6.35
600052,东望时代,3.65,3.69,3.7,203068.0,3.67,848.0,-0.04,-1.08,3.77
600054,黄山旅游,11.1,10.76,10.83,98543.0,11.12,370.0,0.34,3.16,11.15
600055,万东医疗,11.57,11.36,11.36,68425.0,11.59,191.0,0.21,1.85,11.6
600056,中国医药,9.15,8.94,8.91,115325.0,9.17,588.0,0.21,2.35,9.16
600057,厦门象屿,6.18,5.98,5.98,332517.0,6.2,3020.0,0.2,3.34,6.19
600058,五矿发展,10.3,9.81,9.81,359579.0,10.33,984.0,0.49,4.99,10.75
600059,古越龙山,7.96,7.8,7.81,72480.0,7.98,511.0,0.16,2.05,7.98
600060,海信视像,27.73,27.98,27.57,402203.0,27.75,146.0,-0.25,-0.89,27.92
600061,国投资本,6.46,6.19,6.2,684097.0,6.48,7377.0,0.27,4.36,6.48
600062,华润双鹤,17.17,17.05,17.05,66791.0,17.19,427.0,0.12,0.7,17.2
600063,皖维高新,7.41,7.75,7.96,1807677.0,7.43,1325.0,-0.34,-4.39,8.1
600064,南京高科,7.49,7.27,7.29,251954.0,7.53,835.0,0.22,3.03,7.56
600066,宇通客车,28.85,29.5,29.31,203577.0,28.89,2.0,-0.65,-2.2,29.54
600067,冠城新材,3.48,3.16,3.27,1133220.0,0.0,0.0,0.32,10.13,3.48
600071,凤凰光学,16.5,16.46,16.63,34982.0,16.52,8.0,0.04,0.24,16.77
600072,中船科技,9.74,9.58,9.7,318602.0,9.77,586.0,0.16,1.67,9.92
600073,光明肉业,5.03,4.96,4.98,75714.0,5.05,1356.0,0.07,1.41,5.05
600075,新疆天业,4.75,4.67,4.67,227759.0,4.77,868.0,0.08,1.71,4.82
600076,康欣新材,3.47,3.46,3.51,228094.0,3.5,1397.0,0.01,0.29,3.6
600078,澄星股份,12.85,12.56,12.15,824591.0,12.88,430.0,0.29,2.31,13.36
600081,东风科技,10.1,10.03,10.1,26487.0,10.13,14.0,0.07,0.7,10.18
600085,同仁堂,24.95,24.3,24.39,91734.0,24.97,226.0,0.65,2.67,25.02
600088,中视传媒,14.22,14.16,14.16,148881.0,14.24,69.0,0.06,0.42,14.79
600089,特变电工,23.03,22.75,22.92,1362250.0,23.05,1396.0,0.28,1.23,23.39
600094,大名城,3.9,3.86,3.9,133481.0,3.92,1475.0,0.04,1.04,3.94
600095,湘财股份,7.86,7.49,7.51,367151.0,7.88,2256.0,0.37,4.94,7.91
600096,云天化,29.6,29.99,29.56,751424.0,29.75,1.0,-0.39,-1.3,30.99
600097,开创国际,8.67,8.53,8.53,28086.0,8.7,243.0,0.14,1.64,8.72
600098,广州发展,6.99,6.96,6.93,515476.0,7.01,322.0,0.03,0.43,7.06
600099,林海股份,9.09,9.07,9.1,37476.0,9.12,171.0,0.02,0.22,9.21
600100,同方股份,7.11,6.9,6.97,648391.0,7.13,1288.0,0.21,3.04,7.12
600101,明星电力,9.15,9.09,9.1,266840.0,9.17,638.0,0.06,0.66,9.23
600103,青山纸业,3.5,3.51,3.56,1067297.0,3.53,3454.0,-0.01,-0.28,3.58
600104,上汽集团,10.92,10.87,10.86,1451319.0,10.95,936.0,0.05,0.46,11.03
600105,永鼎股份,51.3,52.33,54.02,1305729.0,51.37,1.0,-1.03,-1.97,54.18
600106,重庆路桥,5.0,4.98,5.0,172327.0,5.02,2533.0,0.02,0.4,5.04
600108,亚盛集团,3.59,3.62,3.76,3098589.0,3.61,1578.0,-0.03,-0.83,3.79
600109,国金证券,8.49,7.96,8.02,834913.0,8.52,2118.0,0.53,6.66,8.61
600110,诺德股份,12.94,12.22,12.52,2798252.0,12.96,3267.0,0.72,5.89,13.44
600111,北方稀土,49.43,47.52,48.2,1524409.0,49.46,503.0,1.91,4.02,51.17
600113,浙江东日,35.85,34.2,33.86,71181.0,35.87,341.0,1.65,4.82,36.21
600114,东睦股份,38.57,39.72,40.2,374408.0,38.59,81.0,-1.15,-2.9,41.23
600115,中国东航,3.9,3.7,3.83,3193687.0,3.92,29629.0,0.2,5.41,3.93
600116,三峡水利,6.27,6.19,6.2,347506.0,6.29,2128.0,0.08,1.29,6.29
600117,西宁特钢,2.27,2.22,2.24,160482.0,2.29,11155.0,0.05,2.25,2.29
600118,中国卫星,78.0,78.03,79.53,577779.0,78.03,6.0,-0.03,-0.04,81.72
600120,浙江东方,4.47,4.38,4.42,369968.0,4.49,6937.0,0.09,2.05,4.5
600121,郑州煤电,4.51,4.46,4.37,1363621.0,4.54,844.0,0.05,1.12,4.7
600123,兰花科创,6.99,6.71,6.71,400831.0,7.01,592.0,0.28,4.17,7.11
600125,XD铁龙物,5.46,5.42,5.49,162229.0,5.52,4.0,0.04,0.74,5.55
600126,杭钢股份,6.75,6.64,6.72,532143.0,6.77,905.0,0.11,1.66,6.87
600127,金健米业,5.84,5.79,5.76,122221.0,5.86,1233.0,0.05,0.86,5.85
600128,苏豪弘业,8.74,8.64,8.69,34756.0,8.77,192.0,0.1,1.16,8.79
600129,太极集团,13.39,13.02,13.02,81083.0,13.41,374.0,0.37,2.84,13.4
600130,波导股份,4.53,4.51,4.58,255783.0,4.56,468.0,0.02,0.44,4.63
600131,国网信通,15.24,14.6,14.79,151144.0,15.26,116.0,0.64,4.38,15.24
600132,重庆啤酒,50.46,49.21,49.26,54130.0,50.49,22.0,1.25,2.54,50.85
600133,东湖高新,7.99,7.78,7.8,178294.0,8.02,386.0,0.21,2.7,8.14
600135,乐凯胶片,9.09,8.95,8.9,238204.0,9.12,670.0,0.14,1.56,9.4
600137,浪莎股份,18.78,18.46,18.65,23101.0,18.81,48.0,0.32,1.73,18.92
600138,中青旅,7.4,7.27,7.3,120736.0,7.42,620.0,0.13,1.79,7.42
600141,兴发集团,34.15,32.73,36.0,1114996.0,34.17,166.0,1.42,4.34,36.0
600143,金发科技,16.02,15.43,15.69,611894.0,16.04,778.0,0.59,3.82,16.24
600148,长春一东,16.56,16.38,16.45,25635.0,16.6,25.0,0.18,1.1,16.75
