score,rating,price,above_ma5,above_ma10,above_ma20,above_ma60,bull_arrange,ma5,ma10,ma20,ma60,dif,dea,macd,macd_golden,macd_dead,macd_above_zero,rsi,rsi_overbought,rsi_oversold,boll_mid,boll_up,boll_dn,kdj_k,kdj_d,kdj_j,kdj_golden,vol_surge_5,vol_expand,reasons,code,name
5,B 偏多,161.8,True,False,False,True,False,151.72,170.5,187.07,130.28,0.7107,10.1052,-18.789,False,False,True,35.9,False,False,187.07,242.72,131.43,18.91,18.63,19.48,True,False,False,站上MA5; 站上MA60; 零轴上方; KDJ金叉,sh603629,利通电子
9,A++ 强烈看好,159.6,True,True,True,True,True,151.0,145.01,131.9,89.54,16.6756,16.1181,1.115,False,False,True,76.2,True,False,131.9,168.74,95.06,81.05,78.78,85.59,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; RSI超买; KDJ金叉,sh600183,生益科技
7,A+ 看好,190.29,True,True,False,True,False,180.26,186.47,191.52,157.52,2.5423,5.8904,-6.6964,False,False,True,44.7,False,False,191.52,214.91,168.12,31.9,27.34,41.03,True,False,False,站上MA5; 站上MA10; 站上MA60; 零轴上方; RSI中性; KDJ金叉,sh603083,剑桥科技
10,A++ 强烈看好,60.3,True,True,True,True,True,58.32,55.01,49.93,40.08,5.238,4.552,1.3721,False,False,True,71.0,True,False,49.93,63.3,36.56,78.35,77.31,80.41,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; RSI超买; KDJ金叉; 接近布林上轨,sz002138,顺络电子
9,A++ 强烈看好,92.89,True,True,True,True,False,88.64,90.45,89.73,81.18,1.9425,2.5108,-1.1366,False,False,True,52.8,False,False,89.73,97.56,81.91,46.35,44.01,51.02,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; RSI中性; KDJ金叉; 接近布林上轨,sz001301,尚太科技
2,C 中性,228.11,False,False,False,False,False,228.35,229.5,233.82,244.56,-6.3478,-6.0678,-0.5602,False,False,False,39.1,False,False,233.82,248.33,219.31,38.46,36.3,42.79,True,False,False,KDJ金叉,sh603129,春风动力
4,B 偏多,55.44,True,True,False,False,False,53.45,54.96,57.75,56.38,-1.7017,-1.0809,-1.2415,False,False,False,36.0,False,False,57.75,65.21,50.3,27.61,19.53,43.79,True,False,False,站上MA5; 站上MA10; KDJ金叉,sh603699,纽威股份
5,B 偏多,63.18,True,False,False,True,False,61.13,63.3,66.74,59.55,-0.6899,0.6984,-2.7765,False,False,False,44.1,False,False,66.74,75.98,57.51,22.18,19.3,27.94,True,False,False,站上MA5; 站上MA60; RSI中性; KDJ金叉,sh603950,长源东谷
5,B 偏多,61.69,True,False,False,False,False,60.2,63.52,72.9,64.13,-3.3976,-1.0968,-4.6015,False,False,False,11.3,False,True,72.9,95.97,49.84,13.89,8.89,23.89,True,False,False,站上MA5; RSI超卖; KDJ金叉,sz002929,润建股份
8,A++ 强烈看好,46.15,True,True,True,True,False,42.24,43.8,44.08,45.13,-0.8661,-0.8517,-0.0286,False,False,False,49.2,False,False,44.08,48.52,39.64,36.97,29.19,52.53,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; RSI中性; KDJ金叉; 接近布林上轨,sh600362,江西铜业
7,A+ 看好,40.86,True,True,True,True,False,36.56,38.55,38.44,36.14,-0.0319,0.2076,-0.4792,False,False,False,48.4,False,False,38.44,44.07,32.81,38.64,32.58,50.76,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; RSI中性; KDJ金叉,sz000960,锡业股份
4,B 偏多,39.23,True,True,False,False,False,36.73,38.17,39.58,41.89,-1.8216,-1.6476,-0.3481,False,False,False,39.4,False,False,39.58,44.72,34.45,33.67,26.33,48.34,True,False,False,站上MA5; 站上MA10; KDJ金叉,sz000426,兴业银锡
5,B 偏多,89.09,True,False,False,False,False,88.96,93.04,99.35,103.78,-4.6937,-3.2365,-2.9143,False,False,False,19.3,False,True,99.35,115.58,83.13,14.26,12.54,17.71,True,False,False,站上MA5; RSI超卖; KDJ金叉,sz002920,德赛西威
3,C 中性,60.06,True,False,False,False,False,58.92,60.72,64.07,65.8,-2.8237,-2.2096,-1.2282,False,False,False,32.2,False,False,64.07,72.8,55.34,15.6,12.46,21.87,True,False,False,站上MA5; KDJ金叉,sz000977,浪潮信息
6,A+ 看好,58.28,True,True,False,False,False,55.43,56.83,58.38,68.11,-3.0667,-3.4125,0.6915,False,False,False,43.6,False,False,58.38,63.64,53.13,43.04,34.19,60.72,True,False,False,站上MA5; 站上MA10; 红柱放大; RSI中性; KDJ金叉,sh600486,扬农化工
11,A++ 强烈看好,47.56,True,True,True,True,True,45.96,45.68,44.7,37.41,1.6873,1.8361,-0.2976,False,False,True,59.8,False,False,44.7,49.67,39.72,66.87,66.75,67.12,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; RSI中性; KDJ金叉; 接近布林上轨,sz002903,宇环数控
3,C 中性,37.42,True,False,False,False,False,36.64,37.9,40.14,41.76,-1.929,-1.5189,-0.8201,False,False,False,37.5,False,False,40.14,46.63,33.66,20.78,18.76,24.82,True,False,False,站上MA5; KDJ金叉,sz002335,科华数据
