score,rating,price,above_ma5,above_ma10,above_ma20,above_ma60,bull_arrange,ma5,ma10,ma20,ma60,dif,dea,macd,macd_golden,macd_dead,macd_above_zero,rsi,rsi_overbought,rsi_oversold,boll_mid,boll_up,boll_dn,kdj_k,kdj_d,kdj_j,kdj_golden,vol_surge_5,vol_expand,reasons,code,name
8,A++ 强烈看好,338.6,True,True,False,False,False,328.12,331.68,341.99,363.04,-11.6896,-12.0441,0.7091,True,False,False,47.7,False,False,341.99,374.94,309.04,41.84,27.12,71.27,False,True,False,站上MA5; 站上MA10; MACD金叉; 红柱放大; 放量; RSI中性,sh603444,吉比特
12,A++ 强烈看好,89.74,True,True,True,True,False,81.09,79.93,82.66,80.9,-1.2604,-1.6278,0.7347,True,False,False,59.6,False,False,82.66,92.17,73.14,64.47,43.73,105.96,False,True,True,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 红柱放大; 放量; 倍量; RSI中性; KDJ超买; 接近布林上轨,sz002192,融捷股份
9,A++ 强烈看好,79.47,True,True,True,False,False,75.68,76.73,78.29,81.4,-2.0157,-2.0356,0.0398,True,False,False,50.4,False,False,78.29,83.55,73.03,49.6,34.28,80.24,False,False,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; RSI中性; 接近布林上轨,sz000408,藏格矿业
11,A++ 强烈看好,44.61,True,True,True,False,False,41.8,42.02,43.29,46.88,-1.4626,-1.6732,0.4212,True,False,False,53.3,False,False,43.29,47.19,39.39,49.48,30.3,87.82,False,True,True,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; 放量; 倍量; RSI中性,sh600760,中航沈飞
11,A++ 强烈看好,69.94,True,True,True,True,True,65.4,64.8,64.34,55.96,2.3455,2.2997,0.0916,True,False,True,64.9,False,False,64.34,68.52,60.15,69.67,52.01,104.98,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; MACD金叉; 零轴上方; 红柱放大; KDJ超买; 接近布林上轨,sz002768,国恩股份
7,A+ 看好,65.49,True,True,True,False,False,60.94,60.72,63.97,70.81,-3.0778,-3.4876,0.8198,True,False,False,48.8,False,False,63.97,73.08,54.85,61.69,40.83,103.41,False,False,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; RSI中性; KDJ超买,sz002756,永兴材料
12,A++ 强烈看好,47.74,True,True,True,False,False,46.19,46.54,46.92,48.16,-0.5669,-0.6119,0.0902,True,False,False,48.8,False,False,46.92,48.53,45.31,42.16,29.67,67.14,True,True,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; 放量; RSI中性; KDJ金叉; 接近布林上轨,sh603049,中策橡胶
6,A+ 看好,61.18,True,True,False,False,False,57.75,58.62,62.75,73.06,-5.0048,-5.2393,0.4689,True,False,False,37.1,False,False,62.75,72.7,52.79,51.61,33.51,87.82,False,False,False,站上MA5; 站上MA10; MACD金叉; 红柱放大,sz002738,中矿资源
10,A++ 强烈看好,122.55,True,True,True,True,False,111.71,110.89,113.5,111.53,-0.4988,-1.3037,1.6097,True,False,False,53.9,False,False,113.5,128.84,98.17,68.81,49.94,106.53,False,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 红柱放大; 放量; RSI中性; KDJ超买; 接近布林上轨,sh603991,领先股份
5,B 偏多,55.96,True,False,False,False,False,55.13,56.86,58.63,68.42,-3.4165,-3.4989,0.1648,True,False,False,38.1,False,False,58.63,64.32,52.95,29.26,29.77,28.25,False,False,False,站上MA5; MACD金叉; 红柱放大,sh600486,扬农化工
13,A++ 强烈看好,38.02,True,True,True,True,False,36.34,36.17,36.74,36.7,-0.2142,-0.2927,0.1571,True,False,False,49.8,False,False,36.74,38.67,34.81,57.65,45.34,82.26,False,True,True,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 红柱放大; 放量; 倍量; RSI中性; 接近布林上轨,sh603072,天和磁材
8,A++ 强烈看好,35.85,True,False,False,False,False,34.98,35.88,37.38,44.31,-2.4834,-2.5713,0.1757,True,False,False,42.1,False,False,37.38,41.86,32.9,19.82,15.32,28.81,True,False,False,站上MA5; MACD金叉; 红柱放大; RSI中性; KDJ金叉,sh600113,浙江东日
