score,rating,price,above_ma5,above_ma10,above_ma20,above_ma60,bull_arrange,ma5,ma10,ma20,ma60,dif,dea,macd,macd_golden,macd_dead,macd_above_zero,rsi,rsi_overbought,rsi_oversold,boll_mid,boll_up,boll_dn,kdj_k,kdj_d,kdj_j,kdj_golden,vol_surge_5,vol_expand,reasons,code,name
12,A++ 强烈看好,89.74,True,True,True,True,False,81.09,79.93,82.66,80.9,-1.2604,-1.6278,0.7347,True,False,False,59.6,False,False,82.66,92.17,73.14,64.47,43.73,105.96,False,True,True,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 红柱放大; 放量; 倍量; RSI中性; KDJ超买; 接近布林上轨,sz002192,融捷股份
8,A++ 强烈看好,89.88,True,True,True,True,True,77.29,65.09,56.02,44.15,9.7109,5.907,7.6077,False,False,True,93.0,True,False,56.02,84.14,27.9,94.4,90.33,102.53,False,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; 放量; RSI超买; KDJ超买; 接近布林上轨,sz002636,金安国纪
9,A++ 强烈看好,63.0,True,True,True,True,False,57.36,60.18,57.62,53.82,1.1505,1.2347,-0.1684,False,False,True,58.9,False,False,57.62,66.15,49.1,40.8,39.01,44.4,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; RSI中性; KDJ金叉; 接近布林上轨,sh600301,华锡有色
9,A++ 强烈看好,101.48,True,True,True,True,True,95.13,93.26,88.73,75.24,5.4948,4.9311,1.1274,False,False,True,68.3,False,False,88.73,101.75,75.7,79.84,72.99,93.55,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; 接近布林上轨,sz002718,友邦吊顶
11,A++ 强烈看好,69.94,True,True,True,True,True,65.4,64.8,64.34,55.96,2.3455,2.2997,0.0916,True,False,True,64.9,False,False,64.34,68.52,60.15,69.67,52.01,104.98,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; MACD金叉; 零轴上方; 红柱放大; KDJ超买; 接近布林上轨,sz002768,国恩股份
9,A++ 强烈看好,49.92,True,True,True,True,False,47.55,47.92,47.86,45.2,0.4447,0.4492,-0.009,False,False,True,60.7,False,False,47.86,50.93,44.78,62.99,53.15,82.67,True,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; 放量; KDJ金叉; 接近布林上轨,sz001335,信凯科技
10,A++ 强烈看好,68.76,True,True,True,True,True,66.36,65.02,63.15,60.08,1.5258,0.9938,1.064,False,False,True,67.0,False,False,63.15,68.89,57.41,88.13,85.06,94.25,False,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; 放量; 接近布林上轨,sh603257,中国瑞林
9,A++ 强烈看好,63.58,True,True,True,True,True,60.01,59.93,58.57,60.7,0.1221,-0.4438,1.1317,False,False,False,59.0,False,False,58.57,63.62,53.52,71.89,60.46,94.77,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 红柱放大; RSI中性; 接近布林上轨,sh603379,三美股份
10,A++ 强烈看好,122.55,True,True,True,True,False,111.71,110.89,113.5,111.53,-0.4988,-1.3037,1.6097,True,False,False,53.9,False,False,113.5,128.84,98.17,68.81,49.94,106.53,False,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 红柱放大; 放量; RSI中性; KDJ超买; 接近布林上轨,sh603991,领先股份
13,A++ 强烈看好,56.04,True,True,True,True,True,54.23,53.09,52.17,51.59,0.5092,0.0453,0.9276,False,False,True,59.9,False,False,52.17,56.29,48.06,71.67,67.67,79.66,False,True,True,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; 放量; 倍量; RSI中性; 接近布林上轨,sz000831,中国稀土
