score,rating,price,above_ma5,above_ma10,above_ma20,above_ma60,bull_arrange,ma5,ma10,ma20,ma60,dif,dea,macd,macd_golden,macd_dead,macd_above_zero,rsi,rsi_overbought,rsi_oversold,boll_mid,boll_up,boll_dn,kdj_k,kdj_d,kdj_j,kdj_golden,vol_surge_5,vol_expand,reasons,code,name
6,A+ 看好,667.19,True,True,True,True,False,625.35,616.46,634.12,536.28,19.4862,22.7255,-6.4786,False,False,True,44.4,False,False,634.12,697.0,571.24,65.84,48.59,100.35,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; RSI中性; KDJ超买; 接近布林上轨,sz002371,北方华创
8,A++ 强烈看好,1291.91,True,True,True,False,False,1273.15,1280.54,1291.66,1376.37,-24.1671,-27.7319,7.1297,False,False,False,51.3,False,False,1291.66,1335.1,1248.21,38.02,33.06,47.94,True,False,False,站上MA5; 站上MA10; 站上MA20; 红柱放大; RSI中性; KDJ金叉; 接近布林上轨,sh600519,贵州茅台
3,C 中性,152.15,True,False,False,True,False,151.83,175.99,187.71,128.55,1.5762,12.4538,-21.7552,False,False,True,36.0,False,False,187.71,242.42,133.0,12.22,18.48,-0.31,False,False,False,站上MA5; 站上MA60; 零轴上方,sh603629,利通电子
4,B 偏多,182.99,True,False,False,True,False,177.16,186.14,191.21,156.16,2.313,6.727,-8.8281,False,False,True,40.4,False,False,191.21,214.84,167.58,22.84,25.05,18.41,False,False,False,站上MA5; 站上MA60; 零轴上方; RSI中性,sh603083,剑桥科技
8,A++ 强烈看好,338.6,True,True,False,False,False,328.12,331.68,341.99,363.04,-11.6896,-12.0441,0.7091,True,False,False,47.7,False,False,341.99,374.94,309.04,41.84,27.12,71.27,False,True,False,站上MA5; 站上MA10; MACD金叉; 红柱放大; 放量; RSI中性,sh603444,吉比特
6,A+ 看好,217.55,True,True,True,True,False,215.64,216.41,217.54,173.87,7.2897,10.2366,-5.8937,False,False,True,46.9,False,False,217.54,236.29,198.79,45.07,49.67,35.86,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; RSI中性,sz002384,东山精密
5,B 偏多,89.45,True,False,True,True,False,87.8,90.36,88.95,81.01,1.7424,2.6526,-1.8205,False,False,True,51.1,False,False,88.95,98.38,79.52,36.22,42.85,22.98,False,False,False,站上MA5; 站上MA20; 站上MA60; 零轴上方; RSI中性,sz001301,尚太科技
12,A++ 强烈看好,89.74,True,True,True,True,False,81.09,79.93,82.66,80.9,-1.2604,-1.6278,0.7347,True,False,False,59.6,False,False,82.66,92.17,73.14,64.47,43.73,105.96,False,True,True,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 红柱放大; 放量; 倍量; RSI中性; KDJ超买; 接近布林上轨,sz002192,融捷股份
8,A++ 强烈看好,89.88,True,True,True,True,True,77.29,65.09,56.02,44.15,9.7109,5.907,7.6077,False,False,True,93.0,True,False,56.02,84.14,27.9,94.4,90.33,102.53,False,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; 放量; RSI超买; KDJ超买; 接近布林上轨,sz002636,金安国纪
0,D 偏空,225.17,False,False,False,False,False,229.77,230.32,234.58,245.04,-6.5814,-5.9982,-1.1664,False,False,False,39.1,False,False,234.58,249.41,219.75,34.57,35.22,33.27,False,False,False,无明显信号,sh603129,春风动力
6,A+ 看好,71.67,True,True,False,False,False,69.14,71.55,73.87,80.15,-3.3276,-3.0752,-0.5047,False,False,False,40.1,False,False,73.87,80.62,67.13,26.84,18.4,43.73,True,True,False,站上MA5; 站上MA10; 放量; RSI中性; KDJ金叉,sh600309,万华化学
3,C 中性,86.35,True,True,False,False,False,82.01,84.17,89.45,92.11,-4.0664,-3.4505,-1.2318,False,False,False,35.4,False,False,89.45,102.72,76.17,37.18,22.22,67.08,False,True,False,站上MA5; 站上MA10; 放量,sh603026,石大胜华
9,A++ 强烈看好,63.0,True,True,True,True,False,57.36,60.18,57.62,53.82,1.1505,1.2347,-0.1684,False,False,True,58.9,False,False,57.62,66.15,49.1,40.8,39.01,44.4,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; RSI中性; KDJ金叉; 接近布林上轨,sh600301,华锡有色
7,A+ 看好,92.26,True,True,True,True,False,84.81,85.56,86.74,71.05,2.2906,3.0363,-1.4914,False,False,True,52.2,False,False,86.74,94.9,78.57,57.56,42.69,87.29,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; RSI中性; 接近布林上轨,sz002428,云南锗业
