score,rating,price,above_ma5,above_ma10,above_ma20,above_ma60,bull_arrange,ma5,ma10,ma20,ma60,dif,dea,macd,macd_golden,macd_dead,macd_above_zero,rsi,rsi_overbought,rsi_oversold,boll_mid,boll_up,boll_dn,kdj_k,kdj_d,kdj_j,kdj_golden,vol_surge_5,vol_expand,reasons,code,name
11,A++ 强烈看好,92.01,True,True,True,True,False,89.0,88.34,88.6,83.45,1.3836,1.2812,0.2048,True,False,True,46.9,False,False,88.6,96.53,80.67,68.86,60.29,86.01,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 零轴上方; 红柱放大; RSI中性; 接近布林上轨,sh603040,新坐标
11,A++ 强烈看好,67.46,True,True,True,True,False,59.88,60.91,58.23,54.03,1.7582,1.3395,0.8375,True,False,True,57.9,False,False,58.23,67.74,48.72,56.74,44.92,80.39,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 零轴上方; 红柱放大; RSI中性; 接近布林上轨,sh600301,华锡有色
11,A++ 强烈看好,47.56,True,True,True,True,True,45.96,45.68,44.7,37.41,1.6873,1.8361,-0.2976,False,False,True,59.8,False,False,44.7,49.67,39.72,66.87,66.75,67.12,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; RSI中性; KDJ金叉; 接近布林上轨,sz002903,宇环数控
10,A++ 强烈看好,48.77,True,True,True,True,False,45.65,45.68,46.61,46.83,-0.3525,-0.4108,0.1166,True,False,False,52.2,False,False,46.61,49.88,43.34,47.99,31.34,81.3,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 红柱放大; RSI中性; 接近布林上轨,sh601021,春秋航空
10,A++ 强烈看好,112.49,True,True,True,True,False,102.61,97.45,99.1,87.71,2.7846,1.9761,1.6171,True,False,True,57.2,False,False,99.1,111.55,86.66,78.17,58.26,118.0,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 零轴上方; 红柱放大; RSI中性; KDJ超买; 接近布林上轨,sz001359,平安电工
10,A++ 强烈看好,60.3,True,True,True,True,True,58.32,55.01,49.93,40.08,5.238,4.552,1.3721,False,False,True,71.0,True,False,49.93,63.3,36.56,78.35,77.31,80.41,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; RSI超买; KDJ金叉; 接近布林上轨,sz002138,顺络电子
9,A++ 强烈看好,63.05,True,True,True,True,True,61.56,58.62,54.86,42.21,4.8876,4.4867,0.8017,False,False,True,62.7,False,False,54.86,64.86,44.85,81.77,79.97,85.37,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; 接近布林上轨,sh601208,东材科技
9,A++ 强烈看好,39.33,True,True,True,True,True,37.02,35.79,34.75,31.51,1.2764,0.8821,0.7886,False,False,True,68.6,False,False,34.75,38.56,30.94,84.7,80.49,93.12,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; 接近布林上轨,sz002937,兴瑞科技
9,A++ 强烈看好,104.87,True,True,True,True,True,97.91,94.51,90.16,75.97,6.0744,5.1598,1.8292,False,False,True,69.3,False,False,90.16,103.69,76.62,83.83,76.6,98.29,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; 接近布林上轨,sz002718,友邦吊顶
9,A++ 强烈看好,159.6,True,True,True,True,True,151.0,145.01,131.9,89.54,16.6756,16.1181,1.115,False,False,True,76.2,True,False,131.9,168.74,95.06,81.05,78.78,85.59,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; RSI超买; KDJ金叉,sh600183,生益科技
9,A++ 强烈看好,159.0,True,True,True,True,True,151.64,144.82,143.08,135.73,2.676,1.3728,2.6064,False,False,True,67.9,False,False,143.08,158.85,127.3,81.54,72.34,99.93,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; 接近布林上轨,sh603268,松发股份
9,A++ 强烈看好,92.89,True,True,True,True,False,88.64,90.45,89.73,81.18,1.9425,2.5108,-1.1366,False,False,True,52.8,False,False,89.73,97.56,81.91,46.35,44.01,51.02,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; RSI中性; KDJ金叉; 接近布林上轨,sz001301,尚太科技
9,A++ 强烈看好,37.67,True,True,True,True,True,34.25,33.11,31.39,29.26,1.6366,1.2248,0.8235,False,False,True,61.4,False,False,31.39,38.37,24.41,75.07,67.44,90.34,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; 接近布林上轨,sz002733,雄韬股份
8,A++ 强烈看好,388.68,True,True,True,True,True,384.67,384.02,380.73,310.26,15.7814,19.9863,-8.4097,False,False,True,43.0,False,False,380.73,427.77,333.68,52.03,46.11,63.87,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; RSI中性,sz002916,深南电路
8,A++ 强烈看好,61.8,True,True,True,True,False,60.27,56.67,57.01,54.14,1.1527,0.4168,1.4718,False,False,True,53.6,False,False,57.01,64.95,49.06,66.59,59.77,80.23,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; 红柱放大; RSI中性; 接近布林上轨,sh603650,彤程新材
8,A++ 强烈看好,46.15,True,True,True,True,False,42.24,43.8,44.08,45.13,-0.8661,-0.8517,-0.0286,False,False,False,49.2,False,False,44.08,48.52,39.64,36.97,29.19,52.53,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; RSI中性; KDJ金叉; 接近布林上轨,sh600362,江西铜业
8,A++ 强烈看好,96.3,True,True,True,True,True,92.45,90.98,88.72,90.07,0.2451,-0.7371,1.9645,False,False,False,61.6,False,False,88.72,96.71,80.72,73.31,63.88,92.16,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 红柱放大; 接近布林上轨,sh600259,中稀有色
8,A++ 强烈看好,31.31,True,True,True,False,False,28.78,29.48,30.22,32.5,-1.0453,-1.0994,0.1081,True,False,False,44.0,False,False,30.22,33.14,27.3,46.21,28.67,81.3,False,False,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; RSI中性,sh601899,紫金矿业
