ma20_angle,ma60_angle,ma_dispersion,ma_converging,ma_diverging,ma_bull_strength,hh_ratio,hl_ratio,trend_up_strengthen,trend_slope,trend_angle,pct_30,pct_60,adx,vol_ma5_ratio,vol_ma20_ratio,vol_trend,price_vol_match,vol_surge,channel_width,break_20high,break_60high,pullback_support,score,rating,reasons,code,name,price,pct_change,vol,amount
-16.99,16.48,5.06,False,True,0,0.39,0.56,False,0,0,-25.24,-5.49,34.48,1.19,0.98,True,True,False,32.07,False,False,False,4,C 趋势偏弱,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>30(有趋势)', '30日下跌>10%']",sh601869,长飞光纤,355.18,5.24,146235,18.0
-20.98,36.48,0.15,True,False,0,0.5,0.61,False,0,0,-38.4,-3.17,34.3,0.93,0.74,True,False,False,24.16,False,False,False,2,D 趋势向下,"['MA60角度>5度', 'ADX>30(有趋势)', '30日下跌>10%', '均线收敛(关注变盘)']",sh603986,兆易创新,417.48,3.21,475007,13.0
-26.57,23.04,-0.4,True,False,0,0.44,0.5,False,0,0,-53.94,-38.09,34.87,0.8,0.58,True,False,False,19.89,False,False,True,3,D 趋势向下,"['MA60角度>5度', 'ADX>30(有趋势)', '回踩均线支撑', '30日下跌>10%', '均线收敛(关注变盘)']",sz001309,德明利,406.19,2.44,140694,10.0
-13.22,38.7,3.53,True,False,2,0.5,0.61,False,0,0,-11.88,-11.86,30.55,0.73,0.8,False,False,False,23.43,False,False,False,2,D 趋势向下,"['MA60角度>5度', 'ADX>30(有趋势)', '30日下跌>10%', '均线收敛(关注变盘)']",sz002281,光迅科技,191.52,3.61,393359,7.0
-5.78,14.0,5.27,True,False,2,0.56,0.44,False,0,0,-6.48,14.14,54.65,1.66,1.3,True,True,False,17.95,False,False,False,7,B 趋势中性,"['MA60角度>5度', 'ADX>50(极强趋势)', '均线收敛(关注变盘)']",sz002353,杰瑞股份,150.99,4.43,278555,6.0
3.59,-3.69,3.47,True,False,5,0.5,0.5,False,0,0,9.02,7.09,55.71,1.53,1.46,True,True,False,6.71,False,False,True,10,A 趋势良好,"['MA20微向上', '均线完美多头', 'ADX>50(极强趋势)', '回踩均线支撑', '30日温和上涨', '均线收敛(关注变盘)']",sh603444,吉比特,390.3,1.57,32747,6.0
3.87,10.68,8.83,True,False,5,0.61,0.56,False,0,0,20.71,24.66,50.17,0.84,0.73,True,False,False,22.97,False,False,True,12,A+ 趋势强,"['MA20微向上', 'MA60角度>5度', '均线完美多头', 'ADX>50(极强趋势)', '回踩均线支撑', '30日涨幅10-50%(健康)', '均线收敛(关注变盘)']",sh603268,松发股份,179.26,3.46,58247,6.0
-14.14,16.51,15.28,True,False,2,0.61,0.5,False,0,0,-16.42,22.91,42.36,0.77,0.73,True,False,False,37.16,False,False,False,3,D 趋势向下,"['MA60角度>5度', 'ADX>40(强趋势)', '30日下跌>10%', '均线收敛(关注变盘)']",sh603124,江南新材,144.28,3.81,44386,5.0
-13.73,37.11,9.93,False,True,2,0.44,0.5,False,0,0,-10.07,-10.13,38.07,1.56,1.51,True,True,True,45.81,False,False,False,4,C 趋势偏弱,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>30(有趋势)', '30日下跌>10%']",sz002980,华盛昌,95.08,5.4,140247,5.0
-13.53,30.19,6.94,False,True,0,0.56,0.56,False,0,0,-10.47,20.87,33.48,1.25,0.95,True,True,False,37.73,False,False,False,4,C 趋势偏弱,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>30(有趋势)', '30日下跌>10%']",sh603800,洪田股份,68.81,7.52,73952,5.0
-10.35,17.74,5.01,False,False,2,0.39,0.67,False,0,0,-16.26,-4.93,40.51,0.76,0.58,True,False,False,24.09,False,False,True,3,D 趋势向下,"['MA60角度>5度', 'ADX>40(强趋势)', '回踩均线支撑', '30日下跌>10%']",sz001389,广合科技,169.46,2.87,53221,5.0
8.2,5.84,3.29,True,False,5,0.61,0.61,True,0,0,20.22,21.98,57.01,1.36,1.25,True,True,False,14.48,False,False,True,17,A++ 趋势极强,"['MA20角度>5度(趋势向上)', 'MA60角度>5度', '均线完美多头', '高低点持续抬升', 'ADX>50(极强趋势)', '回踩均线支撑', '30日涨幅10-50%(健康)', '均线收敛(关注变盘)']",sh603979,金诚信,76.65,5.97,120800,4.0
-15.54,20.82,1.02,True,False,0,0.44,0.5,False,0,0,-23.63,-30.57,29.31,1.01,0.91,True,False,False,22.17,False,False,False,1,D 趋势向下,"['MA60角度>5度', '30日下跌>10%', '均线收敛(关注变盘)']",sz002008,大族激光,99.0,4.49,426404,4.0
-19.63,17.89,13.73,False,False,2,0.44,0.5,False,0,0,-29.57,-6.89,43.0,1.04,1.05,False,True,False,39.57,False,False,False,3,D 趋势向下,"['MA60角度>5度', 'ADX>40(强趋势)', '30日下跌>10%']",sz002080,中材科技,59.93,7.48,606524,4.0
-9.03,-1.99,13.22,True,False,3,0.61,0.67,True,0,0,-9.84,6.16,60.57,1.11,1.25,False,True,False,26.33,False,False,False,8,B+ 趋势偏多,"['高低点持续抬升', 'ADX>50(极强趋势)', '均线收敛(关注变盘)']",sh600259,中稀有色,92.2,4.68,159631,4.0
