ma20_angle,ma60_angle,ma_dispersion,ma_converging,ma_diverging,ma_bull_strength,hh_ratio,hl_ratio,trend_up_strengthen,trend_slope,trend_angle,pct_30,pct_60,adx,vol_ma5_ratio,vol_ma20_ratio,vol_trend,price_vol_match,vol_surge,channel_width,break_20high,break_60high,pullback_support,score,rating,reasons,code,name,price,pct_change,vol,amount
11.82,21.66,7.22,False,True,5,0.67,0.67,True,0,0,43.88,66.03,64.85,1.47,1.35,True,True,False,22.85,False,False,False,18,A++ 趋势极强,"['MA20角度>10度(强趋势)', 'MA60角度>5度', '均线发散(趋势加速)', '均线完美多头', '高低点持续抬升', 'ADX>50(极强趋势)', '30日涨幅10-50%(健康)']",sz002718,友邦吊顶,101.48,4.0,27067,4.0
5.23,2.77,8.57,False,True,5,0.61,0.61,True,0,0,29.85,35.88,64.18,1.56,2.18,False,True,True,29.32,False,False,False,18,A++ 趋势极强,"['MA20角度>5度(趋势向上)', 'MA60微向上', '均线发散(趋势加速)', '均线完美多头', '高低点持续抬升', 'ADX>50(极强趋势)', '趋势中放量', '30日涨幅10-50%(健康)']",sh603976,正川股份,27.19,8.76,128296,2.0
12.84,16.58,0.77,True,False,4,0.61,0.61,True,0,0,21.43,49.65,56.0,0.83,0.75,True,True,False,19.8,False,False,True,17,A++ 趋势极强,"['MA20角度>10度(强趋势)', 'MA60角度>5度', '高低点持续抬升', 'ADX>50(极强趋势)', '回踩均线支撑', '30日涨幅10-50%(健康)', '均线收敛(关注变盘)']",sz002916,深南电路,379.5,0.89,108361,3.0
3.49,-9.17,11.28,False,True,5,0.61,0.61,True,0,0,31.26,31.9,56.36,1.08,1.83,False,True,True,28.1,False,False,False,16,A++ 趋势极强,"['MA20微向上', '均线发散(趋势加速)', '均线完美多头', '高低点持续抬升', 'ADX>50(极强趋势)', '趋势中放量', '30日涨幅10-50%(健康)']",sh603039,泛微网络,47.61,4.5,311581,2.0
15.34,45.85,37.98,False,True,5,0.89,0.89,True,0,0,94.74,182.33,65.65,1.57,1.62,False,False,True,71.41,False,False,False,16,A++ 趋势极强,"['MA20角度>10度(强趋势)', 'MA60角度>5度', '均线发散(趋势加速)', '均线完美多头', '高低点持续抬升', 'ADX>50(极强趋势)', '趋势中放量', '30日涨幅>50%(过热)']",sz002636,金安国纪,89.88,5.99,843772,5.0
5.37,-2.82,13.35,False,False,5,0.72,0.78,True,0,0,31.34,20.92,77.54,1.89,2.92,False,True,True,27.66,False,False,False,16,A++ 趋势极强,"['MA20角度>5度(趋势向上)', '均线完美多头', '高低点持续抬升', 'ADX>50(极强趋势)', '趋势中放量', '30日涨幅10-50%(健康)']",sh603733,仙鹤股份,28.96,6.78,309794,2.0
15.58,2.92,2.84,True,False,5,0.67,0.67,True,0,0,35.86,41.77,61.62,1.51,1.39,True,True,False,18.21,False,False,False,16,A++ 趋势极强,"['MA20角度>10度(强趋势)', 'MA60微向上', '均线完美多头', '高低点持续抬升', 'ADX>50(极强趋势)', '30日涨幅10-50%(健康)', '均线收敛(关注变盘)']",sz002741,光华科技,29.63,7.24,742384,2.0
26.21,22.23,19.18,False,True,5,0.83,0.89,True,0,0,102.38,143.45,77.0,1.19,1.32,False,True,False,38.84,False,False,False,15,A++ 趋势极强,"['MA20角度>10度(强趋势)', 'MA60角度>5度', '均线发散(趋势加速)', '均线完美多头', '高低点持续抬升', 'ADX>50(极强趋势)', '30日涨幅>50%(过热)']",sh603608,天创时尚,26.39,7.93,487985,2.0
4.9,-7.92,-2.34,False,True,4,0.61,0.67,True,0,0,17.35,18.55,52.5,1.28,1.07,True,True,False,18.16,False,False,True,14,A+ 趋势强,"['MA20微向上', '均线发散(趋势加速)', '高低点持续抬升', 'ADX>50(极强趋势)', '回踩均线支撑', '30日涨幅10-50%(健康)']",sh603979,金诚信,70.76,3.89,102935,3.0
1.31,16.23,7.41,False,True,5,0.56,0.56,False,0,0,20.71,23.52,51.21,1.23,1.87,False,False,True,37.59,False,False,False,14,A+ 趋势强,"['MA20微向上', 'MA60角度>5度', '均线发散(趋势加速)', '均线完美多头', 'ADX>50(极强趋势)', '趋势中放量', '30日涨幅10-50%(健康)']",sh600498,烽火通信,63.13,3.51,2173422,2.0
9.65,1.82,1.65,False,True,5,0.56,0.5,False,0,0,29.02,28.9,62.87,1.31,1.28,True,True,False,16.43,False,False,False,13,A+ 趋势强,"['MA20角度>5度(趋势向上)', 'MA60微向上', '均线发散(趋势加速)', '均线完美多头', 'ADX>50(极强趋势)', '30日涨幅10-50%(健康)']",sz002768,国恩股份,69.94,4.4,84044,3.0
3.39,-7.73,4.17,False,True,5,0.67,0.56,False,0,0,26.57,9.38,66.56,1.46,2.12,False,True,True,22.51,False,False,False,13,A+ 趋势强,"['MA20微向上', '均线发散(趋势加速)', '均线完美多头', 'ADX>50(极强趋势)', '趋势中放量', '30日涨幅10-50%(健康)']",sh600593,大连圣亚,41.4,4.55,120257,2.0
22.54,65.83,-19.12,False,True,3,0.5,0.56,False,0,0,27.48,147.68,46.68,1.19,1.16,True,True,False,44.7,False,False,True,13,A+ 趋势强,"['MA20角度>10度(强趋势)', 'MA60角度>5度', '均线发散(趋势加速)', 'ADX>40(强趋势)', '回踩均线支撑', '30日涨幅10-50%(健康)']",sh603629,利通电子,152.15,9.22,334730,13.0
1.97,-0.96,5.08,False,True,5,0.5,0.56,False,0,0,18.27,8.8,51.57,1.54,1.74,False,True,True,16.4,False,False,False,13,A+ 趋势强,"['MA20微向上', '均线发散(趋势加速)', '均线完美多头', 'ADX>50(极强趋势)', '趋势中放量', '30日涨幅10-50%(健康)']",sh603257,中国瑞林,68.76,4.06,35603,3.0
12.52,7.13,-1.38,True,False,3,0.56,0.61,False,0,0,29.0,46.73,53.16,1.34,1.07,True,True,False,18.29,False,False,False,12,A+ 趋势强,"['MA20角度>10度(强趋势)', 'MA60角度>5度', 'ADX>50(极强趋势)', '30日涨幅10-50%(健康)', '均线收敛(关注变盘)']",sz002371,北方华创,667.19,4.66,153480,30.0
-1.76,-1.3,3.94,False,True,5,0.44,0.44,False,0,0,14.09,8.33,60.84,1.58,2.17,False,True,True,22.11,False,False,False,12,A+ 趋势强,"['均线发散(趋势加速)', '均线完美多头', 'ADX>50(极强趋势)', '趋势中放量', '30日涨幅10-50%(健康)']",sz000831,中国稀土,56.04,4.18,876580,2.0
3.09,4.14,-0.46,True,False,4,0.56,0.61,False,0,0,29.12,13.51,54.7,1.43,1.58,False,True,True,27.87,False,False,False,12,A+ 趋势强,"['MA20微向上', 'MA60微向上', 'ADX>50(极强趋势)', '趋势中放量', '30日涨幅10-50%(健康)', '均线收敛(关注变盘)']",sh600301,华锡有色,63.0,7.62,285673,4.0
8.63,47.49,-0.87,False,True,3,0.5,0.5,False,0,0,18.3,82.82,48.41,1.12,0.93,True,True,False,24.47,False,False,True,12,A+ 趋势强,"['MA20角度>5度(趋势向上)', 'MA60角度>5度', '均线发散(趋势加速)', 'ADX>40(强趋势)', '回踩均线支撑', '30日涨幅10-50%(健康)']",sz002384,东山精密,217.55,3.11,795949,7.0
7.72,19.62,-7.35,False,True,3,0.44,0.56,False,0,0,18.13,54.29,49.15,1.5,1.22,True,True,False,25.81,False,False,True,12,A+ 趋势强,"['MA20角度>5度(趋势向上)', 'MA60角度>5度', '均线发散(趋势加速)', 'ADX>40(强趋势)', '回踩均线支撑', '30日涨幅10-50%(健康)']",sh603083,剑桥科技,182.99,6.96,382675,12.0
7.47,0.24,-1.3,False,True,4,0.61,0.5,False,0,0,11.56,5.67,37.35,1.18,0.92,True,True,False,17.93,False,False,True,11,A 趋势良好,"['MA20角度>5度(趋势向上)', 'MA60微向上', '均线发散(趋势加速)', 'ADX>30(有趋势)', '回踩均线支撑', '30日涨幅10-50%(健康)']",sz001301,尚太科技,89.45,7.54,60054,6.0
-0.71,-2.94,2.17,True,False,4,0.61,0.67,True,0,0,1.26,2.83,48.93,1.23,1.49,False,True,False,30.28,False,False,True,10,A 趋势良好,"['高低点持续抬升', 'ADX>40(强趋势)', '回踩均线支撑', '30日温和上涨', '均线收敛(关注变盘)']",sh603319,美湖股份,36.3,6.73,472465,2.0
2.59,-4.5,-0.65,True,False,4,0.44,0.39,False,0,0,8.62,7.75,58.16,1.91,1.61,True,True,True,9.35,False,False,False,10,A 趋势良好,"['MA20微向上', 'ADX>50(极强趋势)', '趋势中放量', '30日温和上涨', '均线收敛(关注变盘)']",sz001335,信凯科技,49.92,6.21,22357,3.0
0.82,1.03,-7.56,False,True,3,0.61,0.56,False,0,0,8.56,6.66,39.99,1.43,1.58,False,True,True,30.64,False,False,True,10,A 趋势良好,"['MA20微向上', 'MA60微向上', '均线发散(趋势加速)', 'ADX>30(有趋势)', '趋势中放量', '回踩均线支撑', '30日温和上涨']",sz000960,锡业股份,37.65,8.0,1390769,3.0
