code,name,price,prev_close,open,volume,high,low,amount,pct_change,turnover
600000,浦发银行,9.55,9.59,9.59,724997.0,9.58,1255.0,-0.04,-0.42,9.61
600004,白云机场,8.02,8.11,8.09,97685.0,8.05,549.0,-0.09,-1.11,8.11
600006,东风股份,5.64,5.77,5.75,134657.0,5.67,2048.0,-0.13,-2.25,5.77
600007,中国国贸,21.25,22.76,22.76,47875.0,21.32,20.0,-1.51,-6.63,22.78
600008,首创环保,3.12,3.13,3.12,728917.0,3.14,10143.0,-0.01,-0.32,3.15
600009,上海机场,23.46,23.82,23.67,83910.0,23.48,62.0,-0.36,-1.51,23.8
600010,包钢股份,2.31,2.32,2.3,4634487.0,2.34,112218.0,-0.01,-0.43,2.33
600011,华能国际,8.17,8.16,8.11,1705547.0,8.2,6283.0,0.01,0.12,8.32
600012,皖通高速,16.78,17.16,16.99,94791.0,16.82,10.0,-0.38,-2.21,17.39
600015,华夏银行,6.91,6.94,6.93,535511.0,6.94,5452.0,-0.03,-0.43,6.95
600016,民生银行,3.57,3.6,3.59,2040359.0,3.6,68135.0,-0.03,-0.83,3.6
600017,日照港,2.65,2.69,2.68,226669.0,2.68,8458.0,-0.04,-1.49,2.7
600018,上港集团,4.97,5.0,4.99,323451.0,5.0,7088.0,-0.03,-0.6,5.02
600019,宝钢股份,5.85,5.74,5.75,1516495.0,5.87,13134.0,0.11,1.92,5.86
600020,中原高速,3.92,4.0,3.99,111846.0,3.95,1557.0,-0.08,-2.0,4.0
600021,上海电力,17.14,17.27,17.01,463186.0,17.17,337.0,-0.13,-0.75,17.4
600022,山东钢铁,1.28,1.28,1.28,601652.0,1.3,93415.0,0.0,0.0,1.29
600023,浙能电力,6.3,5.97,5.92,990676.0,6.32,7774.0,0.33,5.53,6.35
600025,华能水电,9.7,9.58,9.56,237220.0,9.73,684.0,0.12,1.25,9.74
600026,中远海能,16.65,16.58,16.75,552432.0,16.68,10.0,0.07,0.42,16.85
600027,华电国际,5.07,5.07,5.04,1042235.0,5.09,7399.0,0.0,0.0,5.13
600028,中国石化,4.79,4.78,4.78,2065872.0,4.82,51240.0,0.01,0.21,4.82
600029,南方航空,5.02,5.11,5.01,681369.0,5.04,4172.0,-0.09,-1.76,5.04
600030,中信证券,25.51,25.66,25.6,1455812.0,25.53,1742.0,-0.15,-0.58,26.05
600031,三一重工,18.22,18.85,18.61,934074.0,18.24,1832.0,-0.63,-3.34,18.69
600032,XD浙江新,8.56,8.88,8.7,339305.0,8.59,1287.0,-0.32,-3.6,8.79
600033,福建高速,3.49,3.5,3.49,182727.0,3.51,5313.0,-0.01,-0.29,3.5
600035,楚天高速,3.78,3.81,3.8,57691.0,3.8,5593.0,-0.03,-0.79,3.8
600036,招商银行,38.73,38.9,38.93,594454.0,38.75,126.0,-0.17,-0.44,39.09
600037,歌华有线,6.51,6.7,6.67,158987.0,6.54,746.0,-0.19,-2.84,6.7
600038,中直股份,27.25,27.7,27.53,74359.0,27.27,39.0,-0.45,-1.62,27.66
600039,四川路桥,8.34,8.31,8.3,150507.0,8.36,1048.0,0.03,0.36,8.4
600048,保利发展,5.15,5.19,5.17,847954.0,5.17,5821.0,-0.04,-0.77,5.21
600050,中国联通,4.36,4.38,4.35,1455026.0,4.38,20522.0,-0.02,-0.46,4.37
600051,宁波联合,6.28,6.38,6.37,42630.0,6.3,450.0,-0.1,-1.57,6.38
600052,东望时代,3.69,3.76,3.71,202405.0,3.73,548.0,-0.07,-1.86,3.81
600054,黄山旅游,10.76,11.24,11.15,122243.0,10.79,211.0,-0.48,-4.27,11.16
600055,万东医疗,11.36,11.66,11.67,48323.0,11.38,143.0,-0.3,-2.57,11.67
600056,中国医药,8.94,9.14,9.13,127855.0,8.96,426.0,-0.2,-2.19,9.15
600057,厦门象屿,5.98,5.97,5.95,191390.0,6.0,1140.0,0.01,0.17,6.01
600058,五矿发展,9.81,10.34,10.9,434352.0,9.84,89.0,-0.53,-5.13,10.95
600059,古越龙山,7.8,7.93,7.92,80493.0,7.82,576.0,-0.13,-1.64,7.92
600060,海信视像,27.98,25.82,25.84,387620.0,28.0,738.0,2.16,8.37,28.38
600061,国投资本,6.19,6.31,6.28,331768.0,6.22,2499.0,-0.12,-1.9,6.35
600062,华润双鹤,17.05,17.08,17.01,51998.0,17.08,26.0,-0.03,-0.18,17.09
600063,皖维高新,7.75,8.41,8.21,2213134.0,7.78,1630.0,-0.66,-7.85,8.37
600064,南京高科,7.27,7.28,7.27,122016.0,7.29,835.0,-0.01,-0.14,7.33
600066,宇通客车,29.5,30.05,29.8,126027.0,29.53,15.0,-0.55,-1.83,30.1
600067,冠城新材,3.16,2.87,2.89,396369.0,0.0,0.0,0.29,10.1,3.16
600071,凤凰光学,16.46,16.69,16.44,36159.0,16.49,35.0,-0.23,-1.38,16.79
600072,中船科技,9.58,10.04,9.86,323086.0,9.61,541.0,-0.46,-4.58,10.04
600073,光明肉业,4.96,4.98,4.97,54995.0,4.99,1639.0,-0.02,-0.4,5.0
600075,新疆天业,4.67,4.73,4.8,209608.0,4.7,480.0,-0.06,-1.27,4.8
600076,康欣新材,3.46,3.52,3.48,287054.0,3.48,2600.0,-0.06,-1.7,3.54
600078,澄星股份,12.56,12.53,13.3,834990.0,12.59,28.0,0.03,0.24,13.78
600081,东风科技,10.03,10.25,10.17,28177.0,10.06,210.0,-0.22,-2.15,10.24
600085,同仁堂,24.3,24.57,24.54,62466.0,24.32,7.0,-0.27,-1.1,24.68
600088,中视传媒,14.16,15.26,14.97,211693.0,14.2,310.0,-1.1,-7.21,15.16
600089,特变电工,22.75,22.66,22.31,1010533.0,22.77,1037.0,0.09,0.4,22.94
600094,大名城,3.86,3.93,3.91,143634.0,3.88,3964.0,-0.07,-1.78,3.95
600095,湘财股份,7.49,7.65,7.59,169536.0,7.51,666.0,-0.16,-2.09,7.68
600096,云天化,29.99,28.7,29.24,548487.0,30.02,163.0,1.29,4.49,30.28
600097,开创国际,8.53,8.57,8.52,17425.0,8.57,30.0,-0.04,-0.47,8.61
600098,广州发展,6.96,7.03,7.01,438658.0,6.98,1285.0,-0.07,-1.0,7.04
600099,林海股份,9.07,9.15,9.04,27766.0,9.09,158.0,-0.08,-0.87,9.15
600100,同方股份,6.9,7.17,7.16,391119.0,6.92,2047.0,-0.27,-3.77,7.18
600101,明星电力,9.09,9.18,9.05,171430.0,9.12,677.0,-0.09,-0.98,9.29
600103,青山纸业,3.51,3.53,3.48,1406869.0,3.54,2336.0,-0.02,-0.57,3.62
600104,上汽集团,10.87,11.09,11.03,954455.0,10.9,2753.0,-0.22,-1.98,11.08
600105,永鼎股份,52.33,52.3,51.49,1246010.0,52.36,30.0,0.03,0.06,55.26
600106,重庆路桥,4.98,4.93,4.9,146378.0,5.01,2037.0,0.05,1.01,5.05
600108,亚盛集团,3.62,3.29,3.28,771684.0,0.0,0.0,0.33,10.03,3.62
