code,name,price,prev_close,open,high,low,volume,amount,pct_change,turnover
六国化工,六国化工,5.67,5.15,5.5,0.0,0.0,150479.0,0.52,10.1,5.67
冠城新材,冠城新材,3.16,2.87,2.89,0.0,0.0,396369.0,0.29,10.1,3.16
中化国际,中化国际,7.21,6.55,7.21,0.0,0.0,388870.0,0.66,10.08,7.21
亚盛集团,亚盛集团,3.62,3.29,3.28,0.0,0.0,771684.0,0.33,10.03,3.62
博威合金,博威合金,24.71,22.46,23.1,0.0,0.0,211832.0,2.25,10.02,24.71
兴发集团,兴发集团,32.73,29.75,32.73,0.0,0.0,106370.0,2.98,10.02,32.73
津投城开,津投城开,2.86,2.6,2.57,0.0,0.0,690813.0,0.26,10.0,2.86
天地源,天地源,4.07,3.7,3.94,0.0,0.0,356765.0,0.37,10.0,4.07
金钼股份,金钼股份,23.2,21.09,21.4,0.0,0.0,471148.0,2.11,10.0,23.2
昊华科技,昊华科技,63.89,58.08,63.89,0.0,0.0,798379.0,5.81,10.0,63.89
东安动力,东安动力,10.57,9.61,9.73,0.0,0.0,203202.0,0.96,9.99,10.57
旭光电子,旭光电子,29.94,27.22,26.94,0.0,0.0,1041328.0,2.72,9.99,29.94
太极实业,太极实业,17.51,15.92,15.38,0.0,0.0,3391858.0,1.59,9.99,17.51
贵研铂业,贵研铂业,25.11,22.83,22.5,0.0,0.0,336187.0,2.28,9.99,25.11
金牛化工,金牛化工,10.82,9.84,10.34,0.0,0.0,1034177.0,0.98,9.96,10.82
广安爱众,广安爱众,4.99,4.54,4.55,0.0,0.0,684482.0,0.45,9.91,4.99
烽火通信,烽火通信,60.99,55.7,55.7,61.01,564.0,2363943.0,5.29,9.5,61.27
返利科技,返利科技,7.45,6.84,6.55,7.48,333.0,641483.0,0.61,8.92,7.52
莲花控股,莲花控股,12.63,11.62,11.3,12.66,187.0,3622486.0,1.01,8.69,12.76
海信视像,海信视像,27.98,25.82,25.84,28.0,738.0,387620.0,2.16,8.37,28.38
