score,rating,price,prev_close,above_ma5,above_ma10,above_ma20,above_ma60,bull_arrange,ma5,ma10,ma20,ma60,dif,dea,macd,macd_golden,macd_dead,macd_above_zero,rsi,rsi_overbought,rsi_oversold,boll_mid,boll_up,boll_dn,kdj_k,kdj_d,kdj_j,kdj_golden,vol_surge_5,vol_surge_20,vol_expand,reasons,code,name
8,⭐⭐⭐ 强烈看好,149.73,,True,True,True,True,True,143.1,141.39,125.72,86.44,16.3085,15.9116,0.7938,False,False,True,79.6,True,False,125.72,165.47,85.97,79.03,78.62,79.87,True,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; MACD零轴上方; KDJ金叉; RSI超买,sh600183,生益科技
17,⭐⭐⭐ 强烈看好,27.98,,True,True,True,True,True,26.09,25.85,25.65,24.05,0.4897,0.4358,0.1078,True,False,True,68.9,False,False,25.65,27.4,23.9,50.29,39.52,71.82,True,True,True,True,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; MACD金叉; MACD零轴上方; MACD红柱放大; 放量; 倍量; KDJ金叉; 接近布林上轨,sh600060,海信视像
4,⭐ 偏多,29.99,,True,False,False,False,False,29.23,30.01,30.8,32.66,-0.9888,-0.8713,-0.235,False,False,False,36.2,False,False,30.8,32.98,28.62,29.05,20.49,46.16,True,True,True,False,站上MA5; 放量; KDJ金叉,sh600096,云天化
5,⭐ 偏多,31.83,,True,False,False,False,False,31.81,33.14,37.32,39.13,-2.5407,-1.8453,-1.3907,False,False,False,13.1,False,True,37.32,46.71,27.93,13.02,10.32,18.41,True,False,False,False,站上MA5; RSI超卖; KDJ金叉,sh600391,航发科技
5,⭐ 偏多,32.47,,True,False,False,False,False,31.49,32.52,34.92,35.82,-1.4397,-0.9971,-0.8851,False,False,False,25.6,False,True,34.92,40.95,28.89,24.81,17.71,39.01,True,False,False,False,站上MA5; RSI超卖; KDJ金叉,sh600895,张江高科
3,中性,119.6,,True,False,False,False,False,119.05,122.3,125.76,137.63,-5.0082,-4.6227,-0.7709,False,False,False,31.2,False,False,125.76,135.2,116.32,17.6,14.23,24.35,True,False,False,False,站上MA5; KDJ金叉,sh600809,山西汾酒
9,⭐⭐⭐ 强烈看好,20.05,,True,True,True,False,False,19.57,19.79,19.59,21.15,-0.3549,-0.447,0.1842,False,False,False,57.4,False,False,19.59,20.41,18.78,37.5,37.41,37.67,True,True,True,False,站上MA5; 站上MA10; 站上MA20; MACD红柱放大; 放量; RSI中性区; KDJ金叉; 接近布林上轨,sh600729,重百集团
8,⭐⭐⭐ 强烈看好,21.11,,True,True,True,False,False,20.42,20.62,20.61,21.42,-0.1921,-0.2509,0.1177,False,False,False,60.8,False,False,20.61,21.45,19.77,49.06,40.33,66.52,True,True,True,False,站上MA5; 站上MA10; 站上MA20; MACD红柱放大; 放量; KDJ金叉; 接近布林上轨,sh600690,海尔智家
4,⭐ 偏多,23.1,,False,False,False,False,False,23.12,24.31,25.93,23.46,-0.8184,-0.2162,-1.2045,False,False,False,29.5,False,True,25.93,30.04,21.83,17.1,15.49,20.32,True,False,False,False,RSI超卖; KDJ金叉,sh600961,株冶集团
4,⭐ 偏多,11.83,,True,False,False,False,False,11.5,11.94,12.21,13.07,-0.5177,-0.4605,-0.1143,False,False,False,44.3,False,False,12.21,13.26,11.17,26.66,23.99,32.02,True,False,False,False,站上MA5; RSI中性区; KDJ金叉,sh600711,盛屯矿业
4,⭐ 偏多,22.96,,False,False,False,False,False,23.04,23.7,25.17,28.01,-1.3946,-1.2235,-0.3423,False,False,False,26.3,False,True,25.17,29.11,21.22,16.55,15.32,18.99,True,False,False,False,RSI超卖; KDJ金叉,sh600989,宝丰能源
2,中性,24.95,,False,False,False,False,False,25.05,26.2,27.47,30.92,-1.8062,-1.5841,-0.4442,False,False,False,35.5,False,False,27.47,30.9,24.04,16.3,14.76,19.38,True,False,False,False,KDJ金叉,sh601069,西部黄金
