score,rating,price,above_ma5,above_ma10,above_ma20,above_ma60,bull_arrange,ma5,ma10,ma20,ma60,dif,dea,macd,macd_golden,macd_dead,macd_above_zero,rsi,rsi_overbought,rsi_oversold,boll_mid,boll_up,boll_dn,kdj_k,kdj_d,kdj_j,kdj_golden,vol_surge_5,vol_expand,reasons,code,name
8,A++ 强烈看好,1291.68,True,True,True,False,False,1273.11,1280.51,1291.64,1376.37,-24.1854,-27.7356,7.1004,False,False,False,51.2,False,False,1291.64,1335.09,1248.2,37.92,33.03,47.7,True,False,False,站上MA5; 站上MA10; 站上MA20; 红柱放大; RSI中性; KDJ金叉; 接近布林上轨,sh600519,贵州茅台
7,A+ 看好,382.2,True,False,True,True,False,381.4,383.42,378.1,308.03,16.539,21.0788,-9.0797,False,False,True,46.4,False,False,378.1,429.49,326.72,45.52,43.67,49.21,True,False,False,站上MA5; 站上MA20; 站上MA60; 零轴上方; RSI中性; KDJ金叉,sz002916,深南电路
9,A++ 强烈看好,63.25,True,True,True,True,False,57.41,60.2,57.64,53.82,1.1704,1.2387,-0.1365,False,False,True,59.2,False,False,57.64,66.2,49.08,41.3,39.17,45.56,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; RSI中性; KDJ金叉; 接近布林上轨,sh600301,华锡有色
5,B 偏多,71.8,True,True,False,False,False,69.17,71.57,73.88,80.15,-3.3172,-3.0732,-0.4881,False,False,False,40.5,False,False,73.88,80.61,67.14,27.27,18.54,44.73,True,False,False,站上MA5; 站上MA10; RSI中性; KDJ金叉,sh600309,万华化学
8,A++ 强烈看好,48.41,True,True,True,False,False,46.61,46.39,46.96,53.56,-1.56,-1.9806,0.8412,False,False,False,52.7,False,False,46.96,50.28,43.64,55.11,44.95,75.43,True,False,False,站上MA5; 站上MA10; 站上MA20; 红柱放大; RSI中性; KDJ金叉; 接近布林上轨,sz000893,亚钾国际
5,B 偏多,60.4,True,False,False,False,False,59.44,61.79,66.39,68.64,-3.5452,-2.6356,-1.8193,False,False,False,29.9,False,True,66.39,77.34,55.44,21.79,19.49,26.39,True,False,False,站上MA5; RSI超卖; KDJ金叉,sh603308,应流股份
6,A+ 看好,153.06,True,True,False,True,False,151.19,151.7,155.68,130.53,4.4284,6.4612,-4.0655,False,False,True,38.7,False,False,155.68,170.78,140.58,41.96,40.54,44.79,True,False,False,站上MA5; 站上MA10; 站上MA60; 零轴上方; KDJ金叉,sz000988,华工科技
12,A++ 强烈看好,47.78,True,True,True,False,False,46.2,46.54,46.92,48.16,-0.5637,-0.6113,0.0953,True,False,False,49.0,False,False,46.92,48.53,45.31,44.45,30.43,72.5,True,True,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; 放量; RSI中性; KDJ金叉; 接近布林上轨,sh603049,中策橡胶
9,A++ 强烈看好,49.66,True,True,True,True,False,47.49,47.89,47.84,45.19,0.424,0.4451,-0.0422,False,False,True,60.1,False,False,47.84,50.88,44.81,61.88,52.78,80.09,True,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; 放量; KDJ金叉; 接近布林上轨,sz001335,信凯科技
3,C 中性,30.53,True,False,False,False,False,29.11,31.02,33.18,38.65,-2.6323,-2.3338,-0.597,False,False,False,33.9,False,False,33.18,38.86,27.49,20.68,13.72,34.59,True,False,False,站上MA5; KDJ金叉,sh600988,赤峰黄金
