code,name,price,prev_close,open,high,low,volume,amount,pct_change,turnover
中体产业,中体产业,8.55,9.5,9.19,8.58,1889.0,1152036.0,-0.95,-10.0,9.27
龙溪股份,龙溪股份,16.41,18.23,17.74,16.43,315.0,133651.0,-1.82,-9.98,17.74
大众交通,大众交通,4.22,4.63,4.45,4.25,8975.0,874619.0,-0.41,-8.86,4.45
红星发展,红星发展,54.03,58.88,59.0,54.05,132.0,746868.0,-4.85,-8.24,59.01
城市传媒,城市传媒,5.63,6.13,6.26,5.67,1.0,440511.0,-0.5,-8.16,6.5
天下秀,天下秀,4.91,5.33,5.2,4.94,745.0,936538.0,-0.42,-7.88,5.31
皖维高新,皖维高新,7.75,8.41,8.21,7.78,1630.0,2213134.0,-0.66,-7.85,8.37
华电辽能,华电辽能,17.73,19.11,18.8,17.76,268.0,2549869.0,-1.38,-7.22,19.36
中视传媒,中视传媒,14.16,15.26,14.97,14.2,310.0,211693.0,-1.1,-7.21,15.16
东方通信,东方通信,15.35,16.48,16.18,15.38,647.0,375931.0,-1.13,-6.86,16.22
新华传媒,新华传媒,4.8,5.15,5.07,4.82,1400.0,211621.0,-0.35,-6.8,5.1
中国国贸,中国国贸,21.25,22.76,22.76,21.32,20.0,47875.0,-1.51,-6.63,22.78
桐昆股份,桐昆股份,20.27,21.69,21.55,20.3,154.0,534986.0,-1.42,-6.55,21.77
同济科技,同济科技,10.05,10.75,10.64,10.08,33.0,75908.0,-0.7,-6.51,10.68
远东股份,远东股份,29.5,31.55,31.18,29.53,307.0,1940569.0,-2.05,-6.5,33.55
山东高速,山东高速,11.04,11.8,11.69,11.06,8.0,138273.0,-0.76,-6.44,11.71
彩虹股份,彩虹股份,10.61,11.33,11.21,10.63,504.0,2214231.0,-0.72,-6.35,11.21
中安科,中安科,2.85,3.04,3.0,2.88,6268.0,849040.0,-0.19,-6.25,3.01
中央商场,中央商场,2.89,3.08,3.06,2.92,2186.0,1058722.0,-0.19,-6.17,3.19
华胜天成,华胜天成,17.23,18.32,17.9,17.25,1328.0,776668.0,-1.09,-5.95,17.99
