score,rating,price,above_ma5,above_ma10,above_ma20,above_ma60,bull_arrange,ma5,ma10,ma20,ma60,dif,dea,macd,macd_golden,macd_dead,macd_above_zero,rsi,rsi_overbought,rsi_oversold,boll_mid,boll_up,boll_dn,kdj_k,kdj_d,kdj_j,kdj_golden,vol_surge_5,vol_expand,reasons,code,name
7,A+ 看好,338.99,True,True,False,False,False,328.2,331.72,342.01,363.04,-11.6585,-12.0379,0.7589,True,False,False,47.9,False,False,342.01,374.95,309.07,42.32,27.28,72.39,False,False,False,站上MA5; 站上MA10; MACD金叉; 红柱放大; RSI中性,sh603444,吉比特
9,A++ 强烈看好,89.9,True,True,True,True,False,81.13,79.94,82.66,80.91,-1.2477,-1.6252,0.7551,True,False,False,59.9,False,False,82.66,92.2,73.13,64.75,43.82,106.61,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 红柱放大; RSI中性; KDJ超买; 接近布林上轨,sz002192,融捷股份
9,A++ 强烈看好,79.77,True,True,True,False,False,75.74,76.76,78.3,81.41,-1.9918,-2.0308,0.0781,True,False,False,50.9,False,False,78.3,83.58,73.03,50.63,34.62,82.65,False,False,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; RSI中性; 接近布林上轨,sz000408,藏格矿业
9,A++ 强烈看好,124.07,True,True,True,True,False,112.01,111.04,113.58,111.56,-0.3776,-1.2794,1.8037,True,False,False,55.0,False,False,113.58,129.12,98.04,70.75,50.59,111.08,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 红柱放大; RSI中性; KDJ超买; 接近布林上轨,sh603991,领先股份
7,A+ 看好,65.82,True,True,True,False,False,61.0,60.75,63.98,70.81,-3.0514,-3.4824,0.8619,True,False,False,49.5,False,False,63.98,73.11,54.85,62.59,41.13,105.52,False,False,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; RSI中性; KDJ超买,sz002756,永兴材料
11,A++ 强烈看好,44.62,True,True,True,False,False,41.81,42.03,43.29,46.88,-1.4618,-1.6731,0.4224,True,False,False,53.3,False,False,43.29,47.19,39.39,49.54,30.33,87.98,False,True,True,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; 放量; 倍量; RSI中性,sh600760,中航沈飞
6,A+ 看好,61.46,True,True,False,False,False,57.8,58.65,62.76,73.06,-4.9825,-5.2348,0.5046,True,False,False,37.8,False,False,62.76,72.71,52.81,52.52,33.81,89.92,False,False,False,站上MA5; 站上MA10; MACD金叉; 红柱放大,sz002738,中矿资源
12,A++ 强烈看好,47.78,True,True,True,False,False,46.2,46.54,46.92,48.16,-0.5637,-0.6113,0.0953,True,False,False,49.0,False,False,46.92,48.53,45.31,44.45,30.43,72.5,True,True,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; 放量; RSI中性; KDJ金叉; 接近布林上轨,sh603049,中策橡胶
11,A++ 强烈看好,37.82,True,True,True,True,False,36.3,36.15,36.73,36.7,-0.2301,-0.2959,0.1316,True,False,False,49.1,False,False,36.73,38.63,34.82,55.98,44.78,78.38,False,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 红柱放大; 放量; RSI中性; 接近布林上轨,sh603072,天和磁材
5,B 偏多,55.66,True,False,False,False,False,55.07,56.82,58.62,68.41,-3.4404,-3.5037,0.1265,True,False,False,36.8,False,False,58.62,64.33,52.9,28.03,29.36,25.36,False,False,False,站上MA5; MACD金叉; 红柱放大,sh600486,扬农化工
9,A++ 强烈看好,36.0,True,True,False,False,False,35.01,35.9,37.39,44.31,-2.4714,-2.5689,0.1949,True,False,False,42.9,False,False,37.39,41.86,32.92,20.77,15.64,31.02,True,False,False,站上MA5; 站上MA10; MACD金叉; 红柱放大; RSI中性; KDJ金叉,sh600113,浙江东日
12,A++ 强烈看好,34.43,True,True,True,True,False,30.57,30.61,31.4,32.36,-0.3953,-0.6588,0.5269,True,False,False,57.0,False,False,31.4,34.98,27.82,63.67,45.22,100.57,False,True,True,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 红柱放大; 放量; 倍量; RSI中性; KDJ超买; 接近布林上轨,sh600141,兴发集团
