score,rating,price,prev_close,above_ma5,above_ma10,above_ma20,above_ma60,bull_arrange,ma5,ma10,ma20,ma60,dif,dea,macd,macd_golden,macd_dead,macd_above_zero,rsi,rsi_overbought,rsi_oversold,boll_mid,boll_up,boll_dn,kdj_k,kdj_d,kdj_j,kdj_golden,vol_surge_5,vol_surge_20,vol_expand,reasons,code,name
17,⭐⭐⭐ 强烈看好,27.98,,True,True,True,True,True,26.09,25.85,25.65,24.05,0.4897,0.4358,0.1078,True,False,True,68.9,False,False,25.65,27.4,23.9,50.29,39.52,71.82,True,True,True,True,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; MACD金叉; MACD零轴上方; MACD红柱放大; 放量; 倍量; KDJ金叉; 接近布林上轨,sh600060,海信视像
12,⭐⭐⭐ 强烈看好,34.24,,True,True,True,True,False,30.51,29.43,29.66,25.83,0.9668,0.7404,0.4529,True,False,True,61.5,False,False,29.66,32.99,26.33,70.68,53.59,104.85,False,True,True,True,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; MACD零轴上方; MACD红柱放大; 放量; 倍量; 接近布林上轨; KDJ超买,sh600206,有研新材
12,⭐⭐⭐ 强烈看好,9.3,,True,True,True,True,False,8.83,8.79,8.96,9.2,-0.1254,-0.1564,0.062,True,False,False,55.8,False,False,8.96,9.49,8.42,56.97,34.64,101.63,False,True,True,True,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; MACD红柱放大; 放量; 倍量; RSI中性区; 接近布林上轨; KDJ超买,sh601456,国联民生
11,⭐⭐⭐ 强烈看好,12.54,,True,True,True,False,False,11.5,11.69,12.27,14.05,-0.6878,-0.7526,0.1297,True,False,False,48.2,False,False,12.27,13.79,10.75,47.42,27.46,87.33,False,True,True,True,站上MA5; 站上MA10; 站上MA20; MACD金叉; MACD红柱放大; 放量; 倍量; RSI中性区,sh600732,爱旭股份
10,⭐⭐⭐ 强烈看好,10.7,,True,True,False,False,False,10.18,10.32,10.82,12.14,-0.5651,-0.5985,0.0669,True,False,False,40.2,False,False,10.82,12.25,9.4,46.26,25.85,87.08,False,True,True,True,站上MA5; 站上MA10; MACD金叉; MACD红柱放大; 放量; 倍量; RSI中性区,sh600618,氯碱化工
10,⭐⭐⭐ 强烈看好,12.63,,True,True,True,True,False,11.28,10.51,10.99,9.15,0.4083,0.352,0.1127,True,False,True,55.3,False,False,10.99,13.22,8.76,74.38,52.78,117.57,False,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; MACD零轴上方; MACD红柱放大; RSI中性区; 接近布林上轨; KDJ超买,sh600186,莲花控股
10,⭐⭐⭐ 强烈看好,25.27,,True,True,True,True,False,23.74,23.07,23.33,24.17,-0.2785,-0.5315,0.506,False,False,False,57.4,False,False,23.33,25.16,21.5,71.09,57.23,98.8,False,True,True,True,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD红柱放大; 放量; 倍量; RSI中性区; 接近布林上轨,sh600392,盛和资源
9,⭐⭐⭐ 强烈看好,122.51,,True,True,True,True,True,120.26,115.99,114.57,106.55,3.2247,2.4478,1.5537,False,False,True,58.2,False,False,114.57,122.46,106.68,77.83,65.89,101.72,False,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; MACD零轴上方; MACD红柱放大; RSI中性区; 接近布林上轨; KDJ超买,sh601100,恒立液压
9,⭐⭐⭐ 强烈看好,20.05,,True,True,True,False,False,19.57,19.79,19.59,21.15,-0.3549,-0.447,0.1842,False,False,False,57.4,False,False,19.59,20.41,18.78,37.5,37.41,37.67,True,True,True,False,站上MA5; 站上MA10; 站上MA20; MACD红柱放大; 放量; RSI中性区; KDJ金叉; 接近布林上轨,sh600729,重百集团
9,⭐⭐⭐ 强烈看好,7.78,,True,True,True,True,False,7.56,7.34,7.5,7.21,-0.0733,-0.0853,0.0241,True,False,False,54.3,False,False,7.5,8.29,6.71,63.73,51.74,87.72,False,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; MACD红柱放大; RSI中性区,sh600736,苏州高新
9,⭐⭐⭐ 强烈看好,41.0,,True,True,True,True,True,39.0,37.77,35.93,35.18,1.2571,0.6893,1.1357,False,False,True,66.9,False,False,35.93,41.19,30.67,78.39,74.82,85.52,False,False,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; MACD零轴上方; MACD红柱放大; 接近布林上轨,sh600160,XD巨化股
9,⭐⭐⭐ 强烈看好,59.22,,True,True,True,False,False,56.98,57.47,58.52,62.28,-1.4816,-1.6375,0.3117,True,False,False,52.6,False,False,58.52,61.77,55.28,42.52,26.21,75.14,False,False,True,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; MACD红柱放大; RSI中性区; 接近布林上轨,sh601336,新华保险
8,⭐⭐⭐ 强烈看好,14.26,,True,True,True,False,True,13.85,13.83,13.68,14.47,-0.1065,-0.1981,0.1833,False,False,False,59.8,False,False,13.68,14.43,12.93,62.74,51.81,84.6,False,False,True,False,站上MA5; 站上MA10; 站上MA20; 多头排列; MACD红柱放大; RSI中性区; 接近布林上轨,sh600397,江钨装备
8,⭐⭐⭐ 强烈看好,7.45,,True,True,True,True,False,6.62,6.44,6.46,6.1,0.1319,0.0579,0.1481,False,False,True,70.8,True,False,6.46,7.07,5.84,71.34,54.82,104.4,False,True,True,True,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD零轴上方; MACD红柱放大; 放量; 倍量; 接近布林上轨; RSI超买; KDJ超买,sh600228,返利科技
8,⭐⭐⭐ 强烈看好,67.44,,True,True,True,True,True,62.92,59.94,55.81,57.18,2.0271,0.4836,3.087,False,False,True,74.0,True,False,55.81,66.69,44.94,83.53,77.09,96.41,False,False,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; MACD零轴上方; MACD红柱放大; 接近布林上轨; RSI超买,sh600549,XD厦门钨
8,⭐⭐⭐ 强烈看好,149.73,,True,True,True,True,True,143.1,141.39,125.72,86.44,16.3085,15.9116,0.7938,False,False,True,79.6,True,False,125.72,165.47,85.97,79.03,78.62,79.87,True,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; MACD零轴上方; KDJ金叉; RSI超买,sh600183,生益科技
8,⭐⭐⭐ 强烈看好,14.86,,True,True,True,True,True,14.49,14.06,13.49,13.57,0.3244,0.1305,0.3879,False,False,True,70.9,True,False,13.49,15.11,11.87,79.08,73.81,89.63,False,False,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; MACD零轴上方; MACD红柱放大; 接近布林上轨; RSI超买,sh600505,西昌电力
8,⭐⭐⭐ 强烈看好,17.14,,True,True,True,True,True,16.87,16.8,15.79,12.19,1.2977,1.3716,-0.1478,False,False,True,57.1,False,False,15.79,18.77,12.82,53.1,58.51,42.3,False,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; MACD零轴上方; RSI中性区,sh600246,万通发展
8,⭐⭐⭐ 强烈看好,21.11,,True,True,True,False,False,20.42,20.62,20.61,21.42,-0.1921,-0.2509,0.1177,False,False,False,60.8,False,False,20.61,21.45,19.77,49.06,40.33,66.52,True,True,True,False,站上MA5; 站上MA10; 站上MA20; MACD红柱放大; 放量; KDJ金叉; 接近布林上轨,sh600690,海尔智家
7,⭐⭐ 看好,92.09,,True,True,True,True,False,90.74,88.46,88.67,89.77,-0.6292,-1.167,1.0755,False,False,False,56.1,False,False,88.67,96.65,80.7,60.64,55.75,70.4,False,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD红柱放大; RSI中性区; 接近布林上轨,sh600259,中稀有色
7,⭐⭐ 看好,13.6,,True,True,False,False,False,13.21,13.4,13.65,14.64,-0.4195,-0.4304,0.0217,True,False,False,47.3,False,False,13.65,14.47,12.84,41.44,30.22,63.86,False,False,True,False,站上MA5; 站上MA10; MACD金叉; MACD红柱放大; RSI中性区,sh600295,鄂尔多斯
7,⭐⭐ 看好,28.91,,True,True,True,True,False,26.75,26.61,27.51,24.47,0.2041,0.2941,-0.18,False,False,True,53.5,False,False,27.51,30.55,24.47,56.04,39.59,88.93,False,True,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD零轴上方; 放量; RSI中性区,sh600641,先导基电
6,⭐⭐ 看好,41.07,,True,True,True,True,False,38.42,38.77,38.09,32.67,1.2839,1.4823,-0.3969,False,False,True,56.1,False,False,38.09,43.58,32.59,57.17,44.49,82.53,False,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD零轴上方; RSI中性区,sh600176,中国巨石
6,⭐⭐ 看好,35.87,,True,True,True,False,False,35.13,35.32,35.41,37.88,-0.6141,-0.7718,0.3154,False,False,False,51.8,False,False,35.41,36.54,34.28,49.1,38.61,70.08,False,False,False,False,站上MA5; 站上MA10; 站上MA20; MACD红柱放大; RSI中性区; 接近布林上轨,sh600298,安琪酵母
