score,rating,price,above_ma5,above_ma10,above_ma20,above_ma60,bull_arrange,ma5,ma10,ma20,ma60,dif,dea,macd,macd_golden,macd_dead,macd_above_zero,rsi,rsi_overbought,rsi_oversold,boll_mid,boll_up,boll_dn,kdj_k,kdj_d,kdj_j,kdj_golden,vol_surge_5,vol_expand,reasons,code,name
12,A++ 强烈看好,47.78,True,True,True,False,False,46.2,46.54,46.92,48.16,-0.5637,-0.6113,0.0953,True,False,False,49.0,False,False,46.92,48.53,45.31,44.45,30.43,72.5,True,True,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; 放量; RSI中性; KDJ金叉; 接近布林上轨,sh603049,中策橡胶
12,A++ 强烈看好,34.43,True,True,True,True,False,30.57,30.61,31.4,32.36,-0.3953,-0.6588,0.5269,True,False,False,57.0,False,False,31.4,34.98,27.82,63.67,45.22,100.57,False,True,True,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 红柱放大; 放量; 倍量; RSI中性; KDJ超买; 接近布林上轨,sh600141,兴发集团
11,A++ 强烈看好,37.82,True,True,True,True,False,36.3,36.15,36.73,36.7,-0.2301,-0.2959,0.1316,True,False,False,49.1,False,False,36.73,38.63,34.82,55.98,44.78,78.38,False,True,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 红柱放大; 放量; RSI中性; 接近布林上轨,sh603072,天和磁材
11,A++ 强烈看好,44.62,True,True,True,False,False,41.81,42.03,43.29,46.88,-1.4618,-1.6731,0.4224,True,False,False,53.3,False,False,43.29,47.19,39.39,49.54,30.33,87.98,False,True,True,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; 放量; 倍量; RSI中性,sh600760,中航沈飞
10,A++ 强烈看好,56.08,True,True,True,True,True,54.24,53.09,52.18,51.59,0.5124,0.046,0.9327,False,False,True,59.9,False,False,52.18,56.3,48.05,71.78,67.71,79.92,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; RSI中性; 接近布林上轨,sz000831,中国稀土
9,A++ 强烈看好,79.77,True,True,True,False,False,75.74,76.76,78.3,81.41,-1.9918,-2.0308,0.0781,True,False,False,50.9,False,False,78.3,83.58,73.03,50.63,34.62,82.65,False,False,False,站上MA5; 站上MA10; 站上MA20; MACD金叉; 红柱放大; RSI中性; 接近布林上轨,sz000408,藏格矿业
9,A++ 强烈看好,63.25,True,True,True,True,False,57.41,60.2,57.64,53.82,1.1704,1.2387,-0.1365,False,False,True,59.2,False,False,57.64,66.2,49.08,41.3,39.17,45.56,True,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 零轴上方; RSI中性; KDJ金叉; 接近布林上轨,sh600301,华锡有色
9,A++ 强烈看好,100.79,True,True,True,True,True,95.0,93.19,88.69,75.23,5.4397,4.9201,1.0393,False,False,True,67.7,False,False,88.69,101.58,75.81,78.76,72.63,91.03,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; 接近布林上轨,sz002718,友邦吊顶
9,A++ 强烈看好,82.59,True,True,True,True,True,74.43,71.8,66.84,57.79,4.9961,3.8586,2.2751,False,False,True,68.9,False,False,66.84,81.84,51.85,84.25,78.61,95.52,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; 多头排列; 零轴上方; 红柱放大; 接近布林上轨,sz000657,中钨高新
9,A++ 强烈看好,89.9,True,True,True,True,False,81.13,79.94,82.66,80.91,-1.2477,-1.6252,0.7551,True,False,False,59.9,False,False,82.66,92.2,73.13,64.75,43.82,106.61,False,False,False,站上MA5; 站上MA10; 站上MA20; 站上MA60; MACD金叉; 红柱放大; RSI中性; KDJ超买; 接近布林上轨,sz002192,融捷股份
