code,name,price,prev_close,open,high,low,volume,amount,pct_change,turnover
昊华科技,昊华科技,63.89,58.08,63.89,0.0,0.0,798379.0,5.81,10.0,63.89
烽火通信,烽火通信,60.99,55.7,55.7,61.01,564.0,2363943.0,5.29,9.5,61.27
XD厦门钨,XD厦门钨,67.44,63.35,64.51,67.46,106.0,1190760.0,4.09,6.46,68.6
华锡有色,华锡有色,58.54,55.05,54.59,58.57,3.0,254783.0,3.49,6.34,59.2
恒立液压,恒立液压,122.51,119.3,117.3,122.55,10.0,132070.0,3.21,2.69,123.8
贵州茅台,贵州茅台,1279.0,1275.88,1272.12,1279.02,4.0,25352.0,3.12,0.24,1282.88
兴发集团,兴发集团,32.73,29.75,32.73,0.0,0.0,106370.0,2.98,10.02,32.73
生益科技,生益科技,149.73,146.9,146.95,149.75,34.0,840041.0,2.83,1.93,153.5
旭光电子,旭光电子,29.94,27.22,26.94,0.0,0.0,1041328.0,2.72,9.99,29.94
贵研铂业,贵研铂业,25.11,22.83,22.5,0.0,0.0,336187.0,2.28,9.99,25.11
博威合金,博威合金,24.71,22.46,23.1,0.0,0.0,211832.0,2.25,10.02,24.71
海信视像,海信视像,27.98,25.82,25.84,28.0,738.0,387620.0,2.16,8.37,28.38
中稀有色,中稀有色,92.09,89.95,89.0,92.12,1.0,152446.0,2.14,2.38,93.8
金钼股份,金钼股份,23.2,21.09,21.4,0.0,0.0,471148.0,2.11,10.0,23.2
有研新材,有研新材,34.24,32.24,32.43,34.27,54.0,1782000.0,2.0,6.2,35.1
中国巨石,中国巨石,41.07,39.37,39.11,41.09,307.0,1907052.0,1.7,4.32,41.7
柏诚股份,柏诚股份,30.89,29.22,28.3,30.91,80.0,333011.0,1.67,5.72,30.97
太极实业,太极实业,17.51,15.92,15.38,0.0,0.0,3391858.0,1.59,9.99,17.51
盛和资源,盛和资源,25.27,23.83,24.3,25.3,5478.0,1478739.0,1.44,6.04,25.5
先导基电,先导基电,28.91,27.53,28.1,28.94,17.0,1087380.0,1.38,5.01,30.28
